LOCATION: Energinet Lot3_SWLB
SYSTEM SERIAL: WS199
TIMESTAMP (ISO-8601) UTC;VerticalWindSpeed030m m/s;VerticalWindSpeed040m m/s;VerticalWindSpeed060m m/s;VerticalWindSpeed090m m/s;VerticalWindSpeed100m m/s;VerticalWindSpeed120m m/s;VerticalWindSpeed150m m/s;VerticalWindSpeed180m m/s;VerticalWindSpeed200m m/s;VerticalWindSpeed240m m/s;VerticalWindSpeed270m m/s;WindDir004m deg;WindDir030m deg;WindDir040m deg;WindDir060m deg;WindDir090m deg;WindDir100m deg;WindDir120m deg;WindDir150m deg;WindDir180m deg;WindDir200m deg;WindDir240m deg;WindDir270m deg;WindGust004m m/s;WindSpeed004m m/s;WindSpeed030m m/s;WindSpeed040m m/s;WindSpeed060m m/s;WindSpeed090m m/s;WindSpeed100m m/s;WindSpeed120m m/s;WindSpeed150m m/s;WindSpeed180m m/s;WindSpeed200m m/s;WindSpeed240m m/s;WindSpeed270m m/s;windMax_hor030m m/s;windMax_hor040m m/s;windMax_hor060m m/s;windMax_hor090m m/s;windMax_hor100m m/s;windMax_hor120m m/s;windMax_hor150m m/s;windMax_hor180m m/s;windMax_hor200m m/s;windMax_hor240m m/s;windMax_hor270m m/s;windMin_hor030m m/s;windMin_hor040m m/s;windMin_hor060m m/s;windMin_hor090m m/s;windMin_hor100m m/s;windMin_hor120m m/s;windMin_hor150m m/s;windMin_hor180m m/s;windMin_hor200m m/s;windMin_hor240m m/s;windMin_hor270m m/s;turbulence(TI)270m;turbulence(TI)240m;turbulence(TI)200m;turbulence(TI)180m;turbulence(TI)150m;turbulence(TI)120m;turbulence(TI)100m;turbulence(TI)090m;turbulence(TI)060m;turbulence(TI)030m;turbulence(TI)040m;StandardDeviation270m m/s;StandardDeviation240m m/s;StandardDeviation200m m/s;StandardDeviation180m m/s;StandardDeviation150m m/s;StandardDeviation120m m/s;StandardDeviation100m m/s;StandardDeviation090m m/s;StandardDeviation060m m/s;StandardDeviation030m m/s;StandardDeviation040m m/s
2021-11-21T16:00:00Z;  -0.244140;   0.146480;   0.219730;  -0.268550;   0.122070;  -0.122070;   0.048830;   0.073240;  -0.244140;  -0.024410;  -0.146480;  28.341800;  29.932620;  28.253420;  26.574220;  28.872070;  28.341800;  29.402340;  31.169920;  30.816410;  30.993160;  32.407230;  30.109380;  10.727910;   8.680180;   8.404660;   8.501460;   8.307860;   7.972780;   8.702510;   8.263180;   8.352540;   8.240840;   8.345090;   8.575930;   8.672730;  11.211910;  10.080080;  10.973630;   9.484380;  10.675780;  11.331050;   9.722660;  10.020510;  10.377930;  11.331050;  10.199220;   6.327150;   6.386720;   5.969730;   3.646480;   5.910160;   5.433590;   6.148440;   5.493160;   5.791020;   6.267580;   6.148440;   0.097900;   0.137451;   0.116211;   0.118042;   0.107422;   0.168213;   0.163818;   0.168579;   0.130859;   0.143677;   0.134888;   0.806607;   1.119832;   0.921302;   0.924127;   0.852384;   1.320476;   1.354346;   1.276841;   1.032800;   1.147179;   1.089408
2021-11-21T16:10:00Z;  -0.317380;  -0.195310;   0.244140;  -0.708010;   0.024410;  -0.122070;  -0.170900;  -0.073240;   0.048830;   0.097660;  -0.195310;  25.160160;  23.746090;  24.983400;  25.513670;  28.341800;  31.346680;  31.346680;  35.058590;  32.053710;  33.998050;  38.770510;  34.174800;   9.625850;   7.756840;   9.543950;  10.221560;  10.497070;   9.514160;   9.506710;   9.715210;   9.730100;   9.313110;   9.886470;   9.186520;   9.007810;  11.867190;  14.190430;  13.475590;  10.854490;  11.748050;  12.045900;  11.390620;  11.390620;  11.211910;  11.152340;  12.165040;   6.565430;   6.982420;   8.590820;   7.339840;   6.803710;   7.875980;   6.327150;   7.161130;   7.280270;   5.374020;   5.910160;   0.196411;   0.167847;   0.104858;   0.142944;   0.131592;   0.125366;   0.144775;   0.098633;   0.108887;   0.149536;   0.199707;   1.680771;   1.464833;   0.984842;   1.264691;   1.216383;   1.157059;   1.307517;   0.891490;   1.085845;   1.355806;   1.939251
2021-11-21T16:20:00Z;   0.244140;   0.097660;   0.463870;   0.292970;   0.292970;   0.439450;   0.537110;   0.268550;   0.463870;   0.463870;   0.805660;  23.392580;  30.639650;  31.169920;  30.639650;  30.993160;  31.169920;  31.523440;  29.579100;  28.695310;  32.230470;  30.816410;  31.523440;  11.867190;   9.268430;   8.784420;   8.695070;   8.978030;   9.357790;   9.268430;   9.551390;   9.387570;  10.273680;  10.459840;  10.705570;  10.690670;  10.973630;  10.556640;  11.926760;  11.152340;  11.926760;  12.165040;  11.748050;  12.939450;  14.607420;  13.535160;  13.118160;   6.684570;   6.029300;   6.744140;   6.744140;   4.778320;   6.208010;   6.505860;   7.339840;   5.791020;   7.458980;   7.697270;   0.110352;   0.143311;   0.178833;   0.152466;   0.138550;   0.158325;   0.193115;   0.136353;   0.164917;   0.133057;   0.128296;   1.120750;   1.457515;   1.777036;   1.488068;   1.235615;   1.436613;   1.700379;   1.212165;   1.406598;   1.110387;   1.059766
2021-11-21T16:30:00Z;  -0.122070;  -0.024410;   0.024410;  -0.561520;   0.097660;  -0.610350;  -0.097660;  -0.195310;  -0.756840;  -0.195310;  -0.634770;  25.513670;  26.397460;  25.778810;  27.281250;  29.932620;  31.346680;  26.750980;  27.811520;  27.458010;  28.165040;  28.165040;  27.811520;  10.221560;   8.121700;   9.439700;   9.812010;   9.618410;   9.923710;   9.380130;   9.685420;   9.737550;   9.737550;   9.685420;  10.243900;  10.340700;  12.760740;  12.701170;  12.582030;  13.833010;  11.628910;  11.628910;  11.807620;  11.688480;  11.509770;  14.130860;  13.713870;   6.446290;   6.922850;   7.458980;   6.327150;   4.361330;   7.041990;   6.267580;   6.267580;   6.803710;   7.578120;   6.386720;   0.178467;   0.149902;   0.146973;   0.114746;   0.136353;   0.135254;   0.189819;   0.161255;   0.153198;   0.178101;   0.175903;   1.753200;   1.458802;   1.352320;   1.061478;   1.261357;   1.244492;   1.691501;   1.520235;   1.399845;   1.597159;   1.639664
2021-11-21T16:40:00Z;  -0.073240;  -0.561520;  -0.561520;  -0.341800;  -0.659180;  -0.268550;  -0.170900;  -0.317380;  -0.366210;  -0.708010;  -0.463870;  21.625000;  24.983400;  22.773930;  23.039060;  27.281250;  26.043950;  30.109380;  24.983400;  24.453120;  27.104490;  24.453120;  29.225590;  11.502320;   8.985470;   9.946040;   9.752440;   9.812010;  10.176880;   9.960940;  10.266240;   9.625850;   9.975830;  10.184330;  10.780030;  10.325810;  12.999020;  11.390620;  13.952150;  12.582030;  13.177730;  12.701170;  12.343750;  12.045900;  12.999020;  14.011720;  13.296880;   7.518550;   6.982420;   5.493160;   4.123050;   7.518550;   7.697270;   6.565430;   7.339840;   7.101560;   7.399410;   7.101560;   0.153931;   0.162354;   0.152466;   0.142944;   0.171875;   0.133423;   0.145508;   0.156128;   0.170410;   0.153198;   0.132324;   1.509989;   1.662672;   1.475126;   1.354686;   1.571721;   1.301265;   1.376927;   1.509451;   1.588461;   1.447528;   1.225958
2021-11-21T16:50:00Z;  -0.439450;   0.073240;   0.219730;  -0.024410;  -0.048830;  -0.122070;  -0.146480;  -0.292970;   0.244140;   0.195310;  -0.292970;  20.564450;  26.750980;  25.160160;  23.039060;  24.099610;  27.104490;  27.811520;  28.695310;  30.109380;  25.336910;  27.104490;  26.927730;  11.375730;   9.030150;   9.469480;   9.931150;  10.206670;   9.715210;   9.975830;  10.243900;   9.804570;  10.459840;   9.499270;  10.534300;  11.130000;  12.582030;  14.071290;  12.939450;  12.045900;  12.403320;  12.582030;  12.760740;  12.403320;  14.905270;  14.011720;  13.713870;   6.565430;   7.161130;   6.565430;   6.625000;   6.863280;   8.114260;   5.254880;   9.305660;   6.922850;   7.816410;   7.637700;   0.156860;   0.173340;   0.237793;   0.085815;   0.166016;   0.109253;   0.134155;   0.172241;   0.155029;   0.167847;   0.160156;   1.658559;   1.734715;   2.145917;   0.852731;   1.546330;   1.063218;   1.271392;   1.589690;   1.503213;   1.509953;   1.511007
2021-11-21T17:00:00Z;  -0.390620;  -0.048830;  -0.170900;  -0.073240;  -0.390620;  -0.170900;  -0.537110;  -0.708010;  -0.170900;NaN;  -0.366210;  21.625000;  22.508790;  20.829590;  20.387700;  24.276370;  21.978520;  23.746090;  22.862300;  23.215820;  22.155270;NaN;  23.392580;  10.921510;   9.156740;   9.908810;  10.042850;  10.377930;  10.139650;  10.355590;   9.946040;   9.685420;   9.893920;   9.610960;NaN;  10.236450;  13.952150;  12.641600;  14.488280;  13.118160;  13.118160;  11.390620;  12.582030;  11.688480;  11.271480;  11.509770;  12.403320;   5.314450;   7.280270;   7.458980;   6.803710;   7.161130;   8.173830;   5.671880;   6.148440;   5.076170;   7.637700;   6.208010;   0.183960;NaN;   0.181396;   0.148071;   0.155029;   0.095703;   0.148438;   0.168945;   0.167480;   0.170410;   0.155762;   1.788942;NaN;   1.656220;   1.391752;   1.426445;   0.904273;   1.460305;   1.627391;   1.651191;   1.604132;   1.486080
2021-11-21T17:10:00Z;   0.000000;  -0.366210;  -0.122070;  -0.390620;  -0.317380;  -0.073240;  -0.219730;  -0.390620;  -0.073240;  -0.390620;  -0.585940;  18.796880;  25.513670;  30.021000;  27.458010;  27.458010;  30.286130;  29.225590;  31.700200;  33.821290;  32.407230;  29.755860;  27.281250;  11.278930;   9.015260;   9.759890;   9.983280;  10.161990;  10.251340;  10.027950;   9.856690;   9.715210;   9.342900;   9.238650;   9.022710;   9.692870;  13.118160;  14.190430;  13.594730;  12.999020;  13.654300;  12.522460;  14.011720;  11.569340;  11.986330;  11.211910;  12.224610;   7.339840;   7.161130;   7.816410;   6.327150;   7.161130;   6.386720;   6.446290;   5.195310;   7.280270;   5.195310;   7.101560;   0.133057;   0.174072;   0.138550;   0.155029;   0.146240;   0.152100;   0.160889;   0.145142;   0.157227;   0.152100;   0.182861;   1.225219;   1.492071;   1.216014;   1.375999;   1.349715;   1.424242;   1.532718;   1.413505;   1.517852;   1.410255;   1.734275
2021-11-21T17:20:00Z;  -0.219730;  -0.170900;  -0.415040;  -0.366210;  -0.292970;  -0.122070;  -0.219730;  -0.195310;   0.024410;  -0.341800;  -0.341800;  23.746090;  30.109380;  27.899900;  28.518550;  29.048830;  26.927730;  26.574220;  30.109380;  29.579100;  29.932620;  33.467770;  35.412110;  11.316160;   9.193970;   9.916260;   9.960940;  10.013060;   9.655640;  10.027950;   9.633300;  10.042850;   9.752440;   9.715210;   9.655640;   9.402470;  13.833010;  12.105470;  12.105470;  12.105470;  11.688480;  12.701170;  12.939450;  12.462890;  11.271480;  11.390620;  12.343750;   7.518550;   7.756840;   7.816410;   5.016600;   6.684570;   6.922850;   6.744140;   6.088870;   6.744140;   6.744140;   5.612300;   0.163818;   0.146240;   0.128296;   0.133057;   0.151733;   0.146240;   0.142578;   0.183960;   0.112549;   0.155396;   0.125366;   1.463279;   1.341439;   1.184101;   1.232749;   1.447640;   1.338335;   1.358277;   1.687439;   1.070612;   1.463900;   1.186325
2021-11-21T17:30:00Z;  -0.097660;  -0.585940;  -0.146480;  -0.048830;  -0.463870;  -0.024410;  -0.317380;   0.048830;  -0.195310;   0.097660;  -0.170900;  23.746090;  30.462890;  30.904790;  28.695310;  29.579100;  31.346680;  32.053710;  33.114260;  33.467770;  33.291020;  35.058590;  36.295900;  11.144900;   9.141850;   9.692870;   9.804570;   9.916260;  10.340700;  10.072630;  10.497070;  10.169430;   9.715210;  10.251340;  10.392820;  10.511960;  12.403320;  11.926760;  12.760740;  14.309570;  14.250000;  13.654300;  12.999020;  12.343750;  13.416020;  12.820310;  14.071290;   6.803710;   7.875980;   7.161130;   5.612300;   5.314450;   7.339840;   6.803710;   7.399410;   7.935550;   6.803710;   7.399410;   0.159058;   0.152466;   0.142578;   0.135254;   0.153198;   0.132690;   0.179199;   0.152832;   0.145874;   0.125366;   0.129028;   1.588411;   1.505324;   1.388535;   1.248320;   1.480040;   1.323213;   1.714755;   1.501370;   1.374198;   1.154399;   1.201811
