LOCATION: Energinet Lot3_SWLB
SYSTEM SERIAL: WS199
TIMESTAMP (ISO-8601) UTC;AirHumidity %;AirPressure hPa;AirTemperature C;AirPressure_lidar hPa;AirTemp_lidar C;thSNR dB;thTBRtemperature degC;thTilt deg;BottomTemperature degC;WaterPressure dbar;precipitation mm/10min;solarIrradiance W/m2;pws_visibility m;pws_WMOcode int;WaterTemp001 degC
2021-12-21T16:00:00Z;  61.875000;1026.269530;   0.522460;1026.855470;  -0.498050;  35.859400;   5.605470;   0.703100;   7.802730;  39.069824;   0.000000;NaN;4999.389650;good visibility, no precipitation;   5.673830
2021-12-21T16:10:00Z;  61.767580;1026.464840;   0.415040;1026.953120;  -0.498050;  33.750000;   5.605470;   0.703100;   7.802730;  39.071045;   0.015259;   2.000000;4999.389650;good visibility, no precipitation;   5.673830
2021-12-21T16:20:00Z;  60.800780;1026.367190;   0.415040;1026.953120;  -0.390620;  33.750000;   5.605470;   0.703100;   7.802730;  39.071045;   0.016022;NaN;4999.389650;good visibility, no precipitation;   5.692870
2021-12-21T16:30:00Z;  60.800780;1026.367190;   0.415040;1026.855470;  -0.390620;  35.156200;   5.605470;   0.703100;   7.695310;  39.066162;   0.000000;   4.000000;4999.389650;good visibility, no precipitation;   5.692870
2021-12-21T16:40:00Z;  61.875000;1026.367190;   0.522460;1026.953120;  -0.390620;  34.453100;   5.605470;   0.703100;   7.802730;  39.060059;   0.023651;   3.000000;4999.389650;good visibility, no precipitation;   5.692870
2021-12-21T16:50:00Z;  60.585940;1026.464840;   0.468750;1027.148440;  -0.390620;  35.156200;   5.605470;   0.703100;   7.802730;  39.060059;   0.009155;NaN;4999.389650;good visibility, no precipitation;   5.692870
2021-12-21T17:00:00Z;  65.742190;1026.464840;   0.522460;1026.953120;  -0.498050;  35.156200;   5.644530;   0.703100;   7.802730;  39.061279;   0.000000;   3.000000;4999.389650;good visibility, no precipitation;   5.692870
2021-12-21T17:10:00Z;  65.419920;1026.464840;   0.415040;1026.953120;  -0.605470;  35.156200;   5.605470;   0.703100;   7.802730;  39.053955;   0.000000;   3.000000;4999.389650;good visibility, no precipitation;   5.692870
2021-12-21T17:20:00Z;  64.882810;1026.367190;   0.415040;1026.855470;  -0.498050;  35.156200;   5.605470;   0.000000;NaN;  39.044190;   0.000000;NaN;4999.389650;good visibility, no precipitation;   5.692870
2021-12-21T17:30:00Z;  64.560550;1026.269530;   0.415040;1026.757810;  -0.498050;  35.859400;   5.644530;   0.703100;   7.802730;  39.038086;   0.000000;   1.000000;4999.389650;good visibility, no precipitation;   5.692870
