LOCATION: Energinet Lot4_SWLB
SYSTEM SERIAL: SWLB44
TIMESTAMP (ISO-8601) UTC;AirHumidity %;AirPressure hPa;AirTemperature C;AirPressure_lidar hPa;AirTemp_lidar C;thSNR dB;thTBRtemperature degC;thTilt deg;BottomTemperature degC;WaterPressure dbar;precipitation mm/10min;WaterTempSBE000 C;Salinity000 ppt;Conductivity000 mS/cm;solarIrradiance W/m2;pws_visibility m;pws_WMOcode int;WaterTemp001 degC
2021-11-22T16:00:00Z;  52.529300;1023.046880;   4.497070;1022.851560;   3.208010;  28.125000;   9.707030;   0.703100;   9.902340;  40.600586;   0.002289;   9.863280;   8.154300;   9.997560;NaN;4999.389650;good visibility, no precipitation;   9.882320
2021-11-22T16:10:00Z;  49.736330;1022.949220;   4.819340;1022.753910;   3.315430;  28.125000;   9.707030;   0.703100;   9.902340;  40.600586;   0.000000;   9.853760;   8.164060;  10.009770;NaN;4999.389650;good visibility, no precipitation;   9.882320
2021-11-22T16:20:00Z;  52.421880;1022.949220;   4.926760;1022.753910;   3.583980;  26.718800;   9.707030;   0.000000;NaN;  40.708008;   0.002289;   9.863280;   8.164060;  10.021970;NaN;4999.389650;good visibility, no precipitation;   9.901370
2021-11-22T16:30:00Z;  53.388670;1022.851560;   5.249020;1022.656250;   3.691410;  29.531200;   9.707030;   2.109400;   9.804690;  40.678711;   0.000000;   9.863280;   8.173830;  10.021970;NaN;4999.389650;good visibility, no precipitation;   9.901370
2021-11-22T16:40:00Z;  52.207030;1022.851560;   5.195310;1022.753910;   3.798830;  30.234400;   9.707030;   2.109400;   9.804690;  40.635986;   0.000000;   9.853760;   8.173830;  10.021970;NaN;4999.389650;good visibility, no precipitation;   9.882320
2021-11-22T16:50:00Z;  51.562500;1022.949220;   5.356450;1022.753910;   3.906250;  29.531200;   9.707030;   2.109400;   9.804690;  40.609131;   0.000000;   9.834720;   8.173830;  10.021970;NaN;4999.389650;good visibility, no precipitation;   9.901370
2021-11-22T17:00:00Z;  49.306640;1022.949220;   5.463870;1022.753910;   4.067380;  33.750000;   9.707030;   0.703100;   9.697270;  40.581055;   0.000000;   9.844240;   8.173830;  10.021970;NaN;4999.389650;good visibility, no precipitation;   9.901370
2021-11-22T17:10:00Z;  49.306640;1022.949220;   5.410160;1022.656250;   4.067380;  33.750000;   9.707030;   0.703100;   9.697270;  40.573731;   0.000000;   9.853760;   8.183590;  10.034180;NaN;4999.389650;good visibility, no precipitation;   9.882320
2021-11-22T17:20:00Z;  49.736330;1022.851560;   5.625000;1022.656250;   4.174800;  34.453100;   9.707030;   2.109400;   9.697270;  40.565185;   0.003815;   9.863280;   8.183590;  10.034180;NaN;4999.389650;good visibility, no precipitation;   9.901370
2021-11-22T17:30:00Z;  54.570310;1022.851560;   5.732420;1022.558590;   4.282230;  32.343800;   9.707030;   0.703100;   9.697270;  40.563965;   0.006104;   9.853760;   8.183590;  10.034180;NaN;4999.389650;good visibility, no precipitation;   9.901370
2021-11-22T17:40:00Z;  56.289060;1022.656250;   5.786130;1022.558590;   4.389650;  33.046900;   9.707030;   2.109400;   9.697270;  40.561523;   0.000763;   9.853760;   8.193360;  10.046390;NaN;4999.389650;good visibility, no precipitation;   9.901370
2021-11-22T17:50:00Z;  55.214840;1022.656250;   5.732420;1022.558590;   4.389650;  34.453100;   9.707030;   2.109400;   9.648440;  40.556641;   0.000000;   9.882320;   8.193360;  10.058590;NaN;4999.389650;good visibility, no precipitation;   9.920410
2021-11-22T18:00:00Z;  60.048830;1022.656250;   5.839840;1022.363280;   4.497070;  33.750000;   9.707030;   2.109400;   9.501950;  40.548096;   0.003052;   9.891850;   8.203120;  10.070800;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T18:10:00Z;  58.544920;1022.558590;   6.108400;1022.363280;   4.711910;  33.750000;   9.707030;   2.109400;   9.501950;  40.545654;   0.000763;   9.901370;   8.203120;  10.070800;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T18:20:00Z;  53.710940;1022.656250;   6.215820;1022.460940;   4.819340;  34.453100;   9.707030;   2.109400;   9.550780;  40.539551;   0.000000;   9.901370;NaN;  10.070800;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T18:30:00Z;  58.007810;1022.656250;   6.323240;1022.460940;   4.980470;  33.750000;   9.707030;   2.109400;   9.501950;  40.534668;   0.002289;   9.891850;NaN;  10.070800;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T18:40:00Z;  61.660160;1022.558590;   6.538090;1022.460940;   5.087890;  33.046900;   9.707030;   2.109400;   9.501950;  40.539551;   0.000000;   9.910890;NaN;  10.083010;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T18:50:00Z;  60.800780;1022.558590;   6.484380;1022.265620;   5.195310;  33.750000;   9.707030;   0.703100;   9.404300;  40.539551;   0.000000;   9.891850;NaN;  10.083010;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T19:00:00Z;  64.667970;1022.363280;   6.806640;1022.265620;   5.302730;  33.750000;   9.707030;   1.406200;   9.345700;  40.529785;   0.000000;   9.910890;NaN;  10.095210;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T19:10:00Z;  65.742190;1022.265620;   6.914060;1022.167970;   5.571290;  33.750000;   9.707030;   1.406200;   9.345700;  40.529785;   0.000000;   9.920410;NaN;  10.095210;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T19:20:00Z;  67.675780;1022.167970;   6.914060;1021.972660;   5.571290;  32.343800;   9.707030;   0.000000;NaN;  40.533447;   0.012970;   9.939450;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T19:30:00Z;  69.179690;1022.070310;   6.914060;1021.875000;   5.571290;  31.640600;   9.746090;   2.109400;   9.501950;  40.526123;   0.003815;   9.929930;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.977540
2021-11-22T19:40:00Z;  70.146480;1021.972660;   6.967770;1021.777340;   5.571290;  33.046900;   9.804690;   2.109400;   9.404300;  40.521240;   0.000000;   9.920410;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.977540
2021-11-22T19:50:00Z;  70.683590;1021.875000;   6.914060;1021.777340;   5.571290;  33.046900;   9.746090;   2.109400;   9.501950;  40.513916;   0.002289;   9.901370;NaN;  10.095210;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T20:00:00Z;  71.220700;1021.679690;   6.806640;1021.582030;   5.517580;  32.343800;   9.707030;   1.406200;   9.501950;  40.511475;   0.000000;   9.891850;NaN;  10.095210;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T20:10:00Z;  73.369140;1021.484380;   7.021480;1021.289060;   5.571290;  32.343800;   9.707030;   0.000000;NaN;  40.509033;   0.003815;   9.882320;NaN;  10.095210;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T20:20:00Z;  73.476560;1021.386720;   7.021480;1021.191410;   5.571290;  30.234400;   9.707030;   2.109400;   9.101560;  40.500488;   0.006104;   9.910890;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.939450
2021-11-22T20:30:00Z;  74.873050;1021.191410;   6.914060;1021.093750;   5.571290;  30.234400;   9.707030;   2.109400;   9.003910;  40.500488;   0.000000;   9.910890;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T20:40:00Z;  76.269530;1021.093750;   7.075200;1020.996090;   5.678710;  30.234400;   9.707030;   0.000000;NaN;  40.489502;   0.000000;   9.920410;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T20:50:00Z;  77.451170;1021.093750;   7.021480;1020.898440;   5.571290;  29.531200;   9.707030;   2.109400;   9.003910;  40.478516;   0.000000;   9.920410;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T21:00:00Z;  80.781250;1020.898440;   7.182620;1020.605470;   5.786130;  28.828100;   9.707030;   2.109400;   8.896480;  40.471191;   0.016785;   9.910890;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.958500
2021-11-22T21:10:00Z;  79.707030;1020.410160;   7.182620;1020.410160;   5.893550;  28.828100;   9.707030;   2.109400;   8.798830;  40.463867;   0.000000;   9.920410;NaN;  10.107420;NaN;4999.389650;good visibility, no precipitation;   9.977540
2021-11-22T21:20:00Z;  79.492190;1020.214840;   7.182620;1020.312500;   6.000980;  30.937500;   9.726560;   2.109400;   8.798830;  40.466309;   0.005341;   9.929930;NaN;  10.119630;NaN;4999.389650;good visibility, no precipitation;   9.977540
2021-11-22T21:30:00Z;  82.285160;1020.214840;   7.397460;1020.214840;   6.000980;  30.234400;   9.746090;   2.109400;   8.701170;  40.457764;   0.000000;   9.929930;NaN;  10.119630;NaN;4999.389650;good visibility, no precipitation;   9.977540
2021-11-22T21:40:00Z;  84.326170;1020.410160;   7.558590;1020.019530;   6.000980;  31.640600;   9.804690;   2.109400;   8.603520;  40.450440;   0.005341;   9.948970;NaN;  10.131840;NaN;4999.389650;good visibility, no precipitation;   9.977540
2021-11-22T21:50:00Z;  82.607420;1020.117190;   7.290040;1020.117190;   6.000980;  31.640600;   9.804690;   2.109400;   8.603520;  40.450440;   0.000000;   9.958500;NaN;  10.131840;NaN;4999.389650;good visibility, no precipitation;   9.996580
2021-11-22T22:00:00Z;  83.251950;1020.117190;   7.397460;1020.117190;   6.108400;  30.937500;   9.804690;   2.109400;   8.496090;  40.452881;   0.005341;   9.939450;NaN;  10.131840;NaN;4999.389650;good visibility, no precipitation;   9.996580
2021-11-22T22:10:00Z;  83.896480;1020.312500;   7.504880;1020.214840;   6.108400;  30.937500;   9.804690;   2.109400;   8.496090;  40.449219;   0.000000;   9.958500;NaN;  10.131840;NaN;4999.389650;good visibility, no precipitation;   9.996580
2021-11-22T22:20:00Z;  83.359380;1020.019530;   7.290040;1020.117190;   6.000980;  31.640600;   9.804690;   0.000000;NaN;  40.441894;   0.000000;   9.977540;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.015620
2021-11-22T22:30:00Z;  84.755860;1019.921880;   7.128910;1019.921880;   5.678710;  30.937500;   9.804690;   2.109400;   8.398440;  40.430908;   0.000000;  10.006100;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.015620
2021-11-22T22:40:00Z;  88.730470;1020.019530;   7.128910;1019.921880;   5.410160;  31.640600;   9.804690;   2.109400;   8.398440;  40.415039;   0.003815;  10.044190;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.053710
2021-11-22T22:50:00Z;  89.589840;1019.824220;   7.397460;1019.824220;   5.410160;  30.937500;   9.804690;   2.109400;   8.398440;  40.405273;   0.000000;  10.053710;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.072750
2021-11-22T23:00:00Z;  90.019530;1019.726560;   7.021480;1019.726560;   5.302730;  31.640600;   9.863280;   2.109400;   8.398440;  40.395508;   0.000763;  10.053710;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.091800
2021-11-22T23:10:00Z;  91.308590;1019.628910;   7.290040;1019.824220;   5.571290;  31.640600;   9.902340;   2.109400;   8.300780;  40.380859;   0.000000;  10.034670;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.072750
2021-11-22T23:20:00Z;  91.630860;1019.726560;   7.182620;1019.824220;   5.786130;  33.046900;   9.902340;   2.109400;   8.300780;  40.373535;   0.003052;  10.025150;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.072750
2021-11-22T23:30:00Z;  92.490230;1019.628910;   7.290040;1019.726560;   5.786130;  32.343800;   9.843750;   2.109400;   8.300780;  40.371094;   0.003815;  10.025150;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.072750
2021-11-22T23:40:00Z;  91.201170;1019.531250;   7.397460;1019.628910;   6.000980;  32.343800;   9.843750;   2.109400;   8.300780;  40.368652;   0.000000;  10.025150;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.072750
2021-11-22T23:50:00Z;  90.664060;1019.238280;   7.612300;1019.531250;   6.215820;  31.640600;   9.804690;   2.109400;   8.300780;  40.361328;   0.003815;  10.015620;   8.183590;  10.070800;NaN;4999.389650;good visibility, no precipitation;  10.072750
2021-11-23T00:00:00Z;  92.597660;1019.433590;   7.666020;1019.335940;   6.000980;  32.343800;   9.804690;   2.109400;   8.203120;  40.360107;   0.002289;   9.977540;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T00:10:00Z;  93.349610;1019.335940;   7.666020;1019.335940;   6.000980;  32.343800;   9.804690;   2.109400;   8.203120;  40.350342;   0.000000;   9.968020;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.015620
2021-11-23T00:20:00Z;  94.208980;1019.433590;   7.666020;1019.335940;   5.893550;  31.640600;   9.804690;   2.109400;   8.203120;  40.340576;   0.005341;   9.987060;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.015620
2021-11-23T00:30:00Z;  94.853520;1019.335940;   7.666020;1019.238280;   6.000980;  31.640600;   9.804690;   2.109400;   8.203120;  40.333252;   0.000000;   9.996580;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T00:40:00Z;  94.960940;1019.238280;   7.773440;1019.531250;   6.215820;  30.937500;   9.804690;   2.109400;   8.095700;  40.336914;   0.000000;   9.996580;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T00:50:00Z;  95.175780;1019.238280;   7.827150;1019.335940;   6.323240;  30.937500;   9.804690;   2.109400;   8.095700;  40.332031;   0.010681;   9.996580;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T01:00:00Z;  95.068360;1019.140620;   7.934570;1019.140620;   6.323240;  30.937500;   9.804690;   2.109400;   8.095700;  40.332031;   0.000000;   9.996580;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T01:10:00Z;  94.423830;1018.945310;   7.880860;1019.140620;   6.376950;  32.343800;   9.804690;   2.109400;   8.095700;  40.333252;   0.000763;   9.968020;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T01:20:00Z;  94.423830;1019.042970;   8.095700;1019.140620;   6.484380;  31.640600;   9.804690;   2.109400;   8.095700;  40.321045;   0.000000;  10.006100;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T01:30:00Z;  94.746090;1019.238280;   8.364260;1019.042970;   6.591800;  32.343800;   9.804690;   2.109400;   8.398440;  40.322266;   0.003052;  10.006100;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.053710
2021-11-23T01:40:00Z;  94.316410;1019.140620;   8.525390;1019.042970;   6.699220;  33.750000;   9.804690;   2.109400;   8.095700;  40.318604;   0.000000;  10.006100;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.053710
2021-11-23T01:50:00Z;  91.630860;1019.042970;   8.686520;1018.945310;   6.699220;  32.343800;   9.804690;   0.703100;   8.095700;  40.319824;   0.003052;   9.958500;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.053710
2021-11-23T02:00:00Z;  90.126950;1019.042970;   8.793950;1019.042970;   6.699220;  31.640600;   9.804690;   2.109400;   8.095700;  40.323486;   0.006866;   9.939450;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.015620
2021-11-23T02:10:00Z;  89.375000;1019.042970;   8.901370;1019.042970;   6.806640;  32.343800;   9.804690;   2.109400;   8.095700;  40.327148;   0.000000;   9.968020;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;   9.996580
2021-11-23T02:20:00Z;  87.119140;1019.042970;   9.008790;1018.945310;   7.075200;  31.640600;   9.804690;   2.109400;   7.998050;  40.336914;   0.000000;  10.025150;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.034670
2021-11-23T02:30:00Z;  86.796880;1019.042970;   9.008790;1018.847660;   7.773440;  33.046900;   9.804690;   2.109400;   7.998050;  40.344238;   0.000763;  10.006100;NaN;NaN;NaN;4686.889650;good visibility, no precipitation;  10.053710
2021-11-23T02:40:00Z;  88.300780;NaN;   8.955080;1018.945310;   7.666020;  33.046900;   9.804690;   0.000000;NaN;  40.346680;   0.000000;  10.044190;NaN;NaN;NaN;3190.917970;good visibility, no precipitation;  10.072750
2021-11-23T02:50:00Z;  89.052730;NaN;   8.901370;1018.847660;   7.666020;  33.046900;   9.843750;   2.109400;   7.998050;  40.354004;   0.005341;  10.053710;NaN;NaN;NaN;4760.742190;good visibility, no precipitation;  10.091800
2021-11-23T03:00:00Z;  87.441410;1018.945310;   9.008790;1019.042970;   7.773440;  32.343800;   9.902340;   1.406200;   7.998050;  40.363769;   0.000000;  10.053710;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.091800
2021-11-23T03:10:00Z;  87.226560;1019.140620;   9.223630;1019.042970;   7.880860;  32.343800;   9.902340;   2.109400;   7.998050;  40.361328;   0.000763;  10.063230;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.091800
2021-11-23T03:20:00Z;  85.830080;1018.945310;   9.116210;1018.945310;   7.880860;  30.937500;   9.902340;   2.109400;   7.998050;  40.371094;   0.006866;  10.053710;NaN;NaN;NaN;4614.868160;good visibility, no precipitation;  10.091800
2021-11-23T03:30:00Z;  87.119140;1019.042970;   9.169920;1019.042970;   7.773440;  32.343800;   9.902340;   2.109400;   7.998050;  40.383301;   0.003052;  10.053710;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.091800
2021-11-23T03:40:00Z;  85.292970;1019.238280;   9.008790;1019.042970;   7.666020;  32.343800;   9.902340;   1.406200;   7.998050;  40.397949;   0.000000;  10.053710;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.091800
2021-11-23T03:50:00Z;  86.474610;1019.238280;   8.955080;1019.140620;   7.612300;  32.343800;   9.902340;   2.109400;   7.998050;  40.407715;   0.000000;  10.053710;NaN;NaN;NaN;4999.389650;good visibility, no precipitation;  10.091800
