LOCATION: Energinet Lot4_SWLB
SYSTEM SERIAL: SWLB44
TIMESTAMP (ISO-8601) UTC;VerticalWindSpeed030m m/s;VerticalWindSpeed040m m/s;VerticalWindSpeed060m m/s;VerticalWindSpeed090m m/s;VerticalWindSpeed100m m/s;VerticalWindSpeed120m m/s;VerticalWindSpeed150m m/s;VerticalWindSpeed180m m/s;VerticalWindSpeed200m m/s;VerticalWindSpeed240m m/s;VerticalWindSpeed270m m/s;WindDir004m deg;WindDir030m deg;WindDir040m deg;WindDir060m deg;WindDir090m deg;WindDir100m deg;WindDir120m deg;WindDir150m deg;WindDir180m deg;WindDir200m deg;WindDir240m deg;WindDir270m deg;WindGust004m m/s;WindSpeed004m m/s;WindSpeed030m m/s;WindSpeed040m m/s;WindSpeed060m m/s;WindSpeed090m m/s;WindSpeed100m m/s;WindSpeed120m m/s;WindSpeed150m m/s;WindSpeed180m m/s;WindSpeed200m m/s;WindSpeed240m m/s;WindSpeed270m m/s;windMax_hor030m m/s;windMax_hor040m m/s;windMax_hor060m m/s;windMax_hor090m m/s;windMax_hor100m m/s;windMax_hor120m m/s;windMax_hor150m m/s;windMax_hor180m m/s;windMax_hor200m m/s;windMax_hor240m m/s;windMax_hor270m m/s;windMin_hor030m m/s;windMin_hor040m m/s;windMin_hor060m m/s;windMin_hor090m m/s;windMin_hor100m m/s;windMin_hor120m m/s;windMin_hor150m m/s;windMin_hor180m m/s;windMin_hor200m m/s;windMin_hor240m m/s;windMin_hor270m m/s;turbulence(TI)270m;turbulence(TI)240m;turbulence(TI)200m;turbulence(TI)180m;turbulence(TI)150m;turbulence(TI)120m;turbulence(TI)100m;turbulence(TI)090m;turbulence(TI)060m;turbulence(TI)030m;turbulence(TI)040m;StandardDeviation270m m/s;StandardDeviation240m m/s;StandardDeviation200m m/s;StandardDeviation180m m/s;StandardDeviation150m m/s;StandardDeviation120m m/s;StandardDeviation100m m/s;StandardDeviation090m m/s;StandardDeviation060m m/s;StandardDeviation030m m/s;StandardDeviation040m m/s
2021-11-22T16:00:00Z;   0.048830;   0.024410;   0.292970;   0.195310;   0.219730;   0.390620;   0.292970;   0.122070;   0.366210;   0.122070;   0.097660; 317.164060; 315.750000; 313.894040; 318.401370; 316.987300; 314.512700; 315.926760; 315.926760; 315.396480; 315.219730; 312.921880; 313.452150;   8.620610;   5.649540;   6.773930;   6.669680;   7.123900;   7.012210;   7.034550;   6.937740;   6.997310;   7.213260;   6.893070;   7.123900;   7.295170;   8.888670;   8.829100;  10.377930;   9.424800;   9.067380;   8.888670;   9.126950;   9.722660;   9.126950;   9.246090;  10.080080;   4.778320;   4.361330;   4.659180;   4.361330;   5.374020;   5.076170;   5.076170;   4.837890;   3.289060;   5.493160;   2.574220;   0.227905;   0.145508;   0.194214;   0.173340;   0.134888;   0.140747;   0.123901;   0.166748;   0.168579;   0.160889;   0.181763;   1.579475;   0.984755;   1.271794;   1.187829;   0.896660;   0.927643;   0.828008;   1.110808;   1.140893;   1.035358;   1.151686
2021-11-22T16:10:00Z;  -0.024410;  -0.122070;  -0.073240;   0.073240;   0.122070;  -0.024410;   0.000000;   0.073240;  -0.146480;  -0.048830;   0.292970; 311.507810; 311.154300; 315.308110; 313.805660; 312.745120; 310.624020; 310.447270; 312.745120; 311.861330; 313.275390; 312.214840; 315.573240;   8.799320;   6.409060;   6.379270;   6.468630;   6.587770;   6.885620;   6.416500;   6.907960;   7.109010;   7.362180;   7.205810;   7.540890;   7.667480;   8.948240;   9.603520;   9.067380;   9.365230;   8.173830;   9.424800;   9.186520;  10.139650;   9.424800;  10.318360;  10.437500;   4.480470;   4.897460;   4.301760;   3.944340;   4.242190;   5.016600;   5.195310;   5.433590;   4.420900;   4.837890;   5.969730;   0.157959;   0.169312;   0.192749;   0.181396;   0.174438;   0.155762;   0.174438;   0.170410;   0.179199;   0.180664;   0.166748;   1.150590;   1.212925;   1.319467;   1.268697;   1.178077;   1.022198;   1.063317;   1.114710;   1.121496;   1.094879;   1.024700
2021-11-22T16:20:00Z;  -0.024410;   0.122070;   0.146480;  -0.244140;   0.219730;  -0.073240;  -0.170900;   0.000000;  -0.073240;   0.122070;   0.170900; 306.558590; 309.209960; 310.270510; 312.745120; 312.214840; 313.805660; 313.098630; 313.452150; 311.331050; 312.038090; 309.916990; 310.447270;   8.069580;   6.245240;   7.094120;   7.391970;   7.056880;   7.168580;   7.615360;   7.183470;   7.496220;   7.436650;   7.458980;   7.324950;   7.674930;   9.782230;   9.663090;   9.186520;  11.152340;   9.484380;   9.663090;  10.556640;  10.377930;  10.497070;   9.722660;   9.722660;   5.135740;   5.612300;   4.301760;   4.659180;   5.612300;   4.361330;   5.195310;   4.599610;   4.599610;   4.540040;   4.957030;   0.142212;   0.187988;   0.169312;   0.168213;   0.160522;   0.156494;   0.129761;   0.190186;   0.177002;   0.177002;   0.156128;   1.036894;   1.308153;   1.199750;   1.188394;   1.143143;   1.067961;   0.938768;   1.295195;   1.186628;   1.192890;   1.096389
2021-11-22T16:30:00Z;  -0.048830;   0.146480;   0.073240;   0.292970;   0.122070;   0.268550;   0.195310;   0.366210;   0.146480;   0.219730;   0.244140; 307.265620; 314.159180; 310.889160; 309.033200; 308.856450; 311.154300; 310.447270; 309.563480; 310.447270; 311.507810; 309.916990; 309.033200;   8.709960;   6.692020;   7.295170;   7.473880;   7.354740;   7.526000;   7.488770;   7.451540;   7.600460;   7.749390;   7.607910;   7.458980;   7.280270;   9.484380;   9.365230;   9.365230;   9.543950;   8.650390;   8.769530;   9.484380;  10.377930;   9.484380;   8.948240;   8.650390;   5.254880;   5.314450;   5.612300;   4.957030;   5.493160;   6.029300;   5.135740;   5.671880;   6.565430;   4.837890;   5.433590;   0.117676;   0.114380;   0.088379;   0.129761;   0.136353;   0.104492;   0.175537;   0.158691;   0.122437;   0.156860;   0.128296;   0.813877;   0.810500;   0.638761;   0.955290;   0.984528;   0.739695;   1.248828;   1.134593;   0.855468;   1.087104;   0.910925
2021-11-22T16:40:00Z;   0.122070;   0.122070;   0.244140;   0.122070;   0.195310;   0.219730;   0.195310;   0.024410;   0.195310;   0.122070;   0.146480; 306.558590; 314.335940; 315.042970; 313.452150; 316.280270; 310.270510; 313.452150; 312.921880; 309.740230; 313.628910; 310.977540; 310.270510;   8.799320;   6.893070;   6.572880;   6.870730;   7.071780;   6.602660;   6.960080;   6.773930;   7.027100;   7.027100;   7.272830;   6.997310;   7.369630;   9.305660;   9.305660;   9.246090;   9.484380;   9.365230;   9.067380;   9.841800;   8.709960;   9.603520;   8.769530;   9.484380;   4.718750;   3.586910;   4.778320;   4.301760;   3.586910;   4.301760;   5.314450;   4.837890;   4.063480;   4.480470;   5.016600;   0.152832;   0.160889;   0.171509;   0.131958;   0.159424;   0.158325;   0.177368;   0.192383;   0.145508;   0.158691;   0.200806;   1.070000;   1.069501;   1.184988;   0.880918;   1.064274;   1.018858;   1.172771;   1.206728;   0.977551;   0.990904;   1.310700
2021-11-22T16:50:00Z;  -0.097660;   0.219730;   0.244140;   0.024410;   0.170900;  -0.122070;   0.024410;  -0.048830;   0.073240;   0.122070;   0.073240; 308.679690; 306.205080; 308.414550; 306.558590; 308.856450; 308.502930; 309.740230; 308.856450; 306.912110; 308.856450; 306.912110; 306.912110;   8.672730;   6.155880;   6.453740;   6.505860;   6.692020;   6.654790;   6.759030;   6.751590;   6.483520;   7.094120;   6.759030;   7.220700;   6.773930;   8.233400;   7.756840;   8.590820;   8.173830;   9.722660;   8.829100;   8.173830;   9.126950;   8.054690;   9.186520;   8.412110;   4.182620;   4.242190;   5.195310;   3.706050;   4.182620;   4.659180;   4.301760;   5.254880;   4.301760;   5.016600;   4.659180;   0.155029;   0.149536;   0.152832;   0.156860;   0.164917;   0.151733;   0.155762;   0.137817;   0.136353;   0.166382;   0.135254;   0.997648;   1.025767;   0.981346;   1.057144;   1.015781;   0.973217;   1.000160;   0.871286;   0.866853;   1.020097;   0.835946
2021-11-22T17:00:00Z;  -0.073240;   0.268550;   0.292970;   0.000000;   0.073240;  -0.024410;   0.000000;   0.073240;   0.097660;  -0.122070;   0.195310; 303.730470; 305.321290; 303.111820; 304.083980; 306.205080; 302.669920; 302.846680; 300.902340; 301.432620; 301.079100; 299.134770; 298.074220;   8.069580;   6.059080;   6.617550;   6.610110;   6.826050;   6.587770;   6.736690;   6.863280;   6.922850;   6.826050;   6.453740;   6.468630;   6.587770;   8.352540;   8.948240;   9.663090;   9.067380;   8.650390;  10.139650;   8.531250;   8.769530;   9.484380;   8.173830;   8.769530;   3.825200;   4.897460;   5.254880;   4.897460;   4.242190;   4.361330;   5.254880;   5.016600;   4.123050;   4.957030;   4.837890;   0.145142;   0.140015;   0.232300;   0.136719;   0.137451;   0.211792;   0.149902;   0.133789;   0.159790;   0.145142;   0.145874;   0.908354;   0.860420;   1.424244;   0.886588;   0.903975;   1.380908;   0.959351;   0.837303;   1.036198;   0.912460;   0.916031
2021-11-22T17:10:00Z;   0.097660;   0.097660;  -0.024410;   0.341800;   0.000000;   0.146480;   0.000000;   0.195310;   0.341800;   0.000000;   0.195310; 297.367190; 298.427730; 298.604490; 295.246090; 295.422850; 297.897460; 295.599610; 299.488280; 301.255860; 298.074220; 298.427730; 298.074220;   7.928100;   6.126100;   6.684570;   6.893070;   6.647340;   7.488770;   7.012210;   7.347290;   7.362180;   7.749390;   7.458980;   7.391970;   7.526000;   9.960940;   9.960940;   8.471680;  10.794920;   8.829100;   9.603520;   9.126950;   9.424800;   9.424800;   9.246090;   9.722660;   3.467770;   4.420900;   3.348630;   5.016600;   4.659180;   5.314450;   5.076170;   5.493160;   5.552730;   4.957030;   4.003910;   0.148071;   0.148804;   0.149902;   0.136353;   0.125732;   0.140015;   0.143311;   0.184326;   0.176270;   0.233765;   0.193115;   1.058663;   1.044957;   1.062210;   1.003820;   0.879379;   0.977294;   0.954680;   1.311356;   1.113140;   1.484488;   1.264597
2021-11-22T17:20:00Z;   0.097660;  -0.097660;  -0.048830;   0.146480;   0.268550;   0.097660;   0.146480;   0.073240;   0.195310;   0.244140;  -0.048830; 293.478520; 293.301760; 292.771480; 293.478520; 294.008790; 292.064450; 295.953120; 294.362300; 294.892580; 295.422850; 297.190430; 296.836910;   8.263180;   6.572880;   7.190920;   7.049440;   7.131350;   7.414310;   7.183470;   7.228150;   7.183470;   7.332400;   7.280270;   7.585570;   7.049440;   9.663090;   9.067380;   9.186520;  10.914060;   9.126950;   9.722660;   9.305660;   8.709960;  10.914060;   9.067380;  10.020510;   4.778320;   4.837890;   4.837890;   5.671880;   4.659180;   4.003910;   5.433590;   4.599610;   5.076170;   5.493160;   4.420900;   0.198242;   0.127930;   0.172241;   0.143677;   0.136353;   0.164185;   0.146606;   0.153564;   0.144775;   0.144409;   0.160889;   1.327620;   0.921901;   1.191263;   1.000822;   0.930513;   1.127416;   1.000483;   1.081643;   0.980819;   0.986512;   1.077468
2021-11-22T17:30:00Z;   0.048830;  -0.073240;  -0.244140;  -0.292970;  -0.292970;  -0.073240;  -0.122070;   0.000000;  -0.097660;   0.097660;  -0.122070; 289.943360; 282.342770; 283.580080; 286.231450; 283.756840; 282.342770; 283.049800; 286.408200; 283.049800; 286.408200; 286.938480; 285.524410;   8.598270;   6.409060;   6.826050;   6.907960;   6.922850;   7.101560;   6.781370;   6.863280;   6.878170;   6.893070;   7.086670;   6.699460;   7.086670;   8.412110;   9.543950;   8.709960;   9.960940;   9.365230;   8.709960;   8.709960;  10.020510;   9.841800;   9.067380;   9.126950;   3.765620;   5.314450;   4.480470;   5.493160;   4.420900;   4.123050;   4.540040;   4.659180;   4.540040;   4.182620;   5.016600;   0.160889;   0.173706;   0.157227;   0.167480;   0.164917;   0.161255;   0.208130;   0.170776;   0.155029;   0.155762;   0.136719;   1.083159;   1.105550;   1.058505;   1.096729;   1.077611;   1.051401;   1.340836;   1.152137;   1.019580;   1.010077;   0.897227
