LOCATION: Energinet Lot4_SWLB
SYSTEM SERIAL: SWLB44
TIMESTAMP (ISO-8601) UTC;VerticalWindSpeed030m m/s;VerticalWindSpeed040m m/s;VerticalWindSpeed060m m/s;VerticalWindSpeed090m m/s;VerticalWindSpeed100m m/s;VerticalWindSpeed120m m/s;VerticalWindSpeed150m m/s;VerticalWindSpeed180m m/s;VerticalWindSpeed200m m/s;VerticalWindSpeed240m m/s;VerticalWindSpeed270m m/s;WindDir004m deg;WindDir030m deg;WindDir040m deg;WindDir060m deg;WindDir090m deg;WindDir100m deg;WindDir120m deg;WindDir150m deg;WindDir180m deg;WindDir200m deg;WindDir240m deg;WindDir270m deg;WindGust004m m/s;WindSpeed004m m/s;WindSpeed030m m/s;WindSpeed040m m/s;WindSpeed060m m/s;WindSpeed090m m/s;WindSpeed100m m/s;WindSpeed120m m/s;WindSpeed150m m/s;WindSpeed180m m/s;WindSpeed200m m/s;WindSpeed240m m/s;WindSpeed270m m/s;windMax_hor030m m/s;windMax_hor040m m/s;windMax_hor060m m/s;windMax_hor090m m/s;windMax_hor100m m/s;windMax_hor120m m/s;windMax_hor150m m/s;windMax_hor180m m/s;windMax_hor200m m/s;windMax_hor240m m/s;windMax_hor270m m/s;windMin_hor030m m/s;windMin_hor040m m/s;windMin_hor060m m/s;windMin_hor090m m/s;windMin_hor100m m/s;windMin_hor120m m/s;windMin_hor150m m/s;windMin_hor180m m/s;windMin_hor200m m/s;windMin_hor240m m/s;windMin_hor270m m/s;turbulence(TI)270m;turbulence(TI)240m;turbulence(TI)200m;turbulence(TI)180m;turbulence(TI)150m;turbulence(TI)120m;turbulence(TI)100m;turbulence(TI)090m;turbulence(TI)060m;turbulence(TI)030m;turbulence(TI)040m;StandardDeviation270m m/s;StandardDeviation240m m/s;StandardDeviation200m m/s;StandardDeviation180m m/s;StandardDeviation150m m/s;StandardDeviation120m m/s;StandardDeviation100m m/s;StandardDeviation090m m/s;StandardDeviation060m m/s;StandardDeviation030m m/s;StandardDeviation040m m/s
2022-02-22T16:00:00Z;  -0.219730;   0.024410;   0.268550;  -0.073240;   0.146480;  -0.048830;   0.073240;  -0.097660;  -0.073240;  -0.048830;   0.097660; 233.380860; 240.451170; 242.395510; 241.688480; 245.400390; 247.698240; 249.819340; 252.647460; 253.531250; 254.768550; 256.359380; 257.243160;   7.496220;   6.066530;   7.243040;   7.928100;   8.374880;   8.888670;   9.424800;   9.395020;  10.221560;  10.482180;  11.167240;  11.710820;  12.232060;   9.186520;   9.484380;  11.331050;  11.033200;  12.284180;  11.211910;  14.130860;  12.879880;  14.726560;  15.143550;  15.441410;   5.910160;   6.625000;   4.123050;   5.910160;   6.863280;   6.029300;   8.352540;   7.816410;   7.875980;   8.292970;   9.663090;   0.114746;   0.122437;   0.125366;   0.113281;   0.117676;   0.123169;   0.143677;   0.119507;   0.166382;   0.112549;   0.093506;   1.333401;   1.362146;   1.329993;   1.128060;   1.142691;   1.099316;   1.286421;   1.009145;   1.323758;   0.774437;   0.704259
2022-02-22T16:10:00Z;   0.024410;   0.048830;   0.146480;   0.048830;  -0.073240;  -0.170900;  -0.024410;   0.122070;   0.073240;  -0.219730;   0.024410; 233.734380; 244.870120; 245.577150; 244.870120; 247.875000; 247.521480; 247.344730; 250.349610; 253.177730; 256.712890; 257.950200; 257.419920;   7.734500;   6.371830;   7.801510;   8.114260;   8.523800;   9.223750;   9.000370;   9.402470;  10.206670;  11.048100;  10.847050;  10.884280;  11.375730;   9.484380;   9.186520;  11.152340;  12.165040;  11.271480;  11.926760;  11.569340;  13.654300;  13.654300;  12.820310;  14.369140;   6.803710;   6.208010;   6.863280;   7.399410;   4.242190;   6.803710;   7.280270;   8.412110;   7.578120;   8.471680;   9.543950;   0.098267;   0.106323;   0.131226;   0.117310;   0.093506;   0.123535;   0.160522;   0.107788;   0.118774;   0.095337;   0.087646;   1.061966;   1.099387;   1.352244;   1.231250;   0.906666;   1.103457;   1.372520;   0.944499;   0.961786;   0.706584;   0.675623
2022-02-22T16:20:00Z;   0.048830;   0.073240;   0.024410;  -0.073240;   0.122070;  -0.097660;   0.268550;  -0.170900;   0.170900;  -0.195310;   0.097660; 238.330080; 242.395510; 242.130370; 244.870120; 243.986330; 244.693360; 248.405270; 250.172850; 249.819340; 249.996090; 250.172850; 254.238280;   7.689820;   6.446290;   7.250490;   7.853640;   8.188720;   9.179080;   9.476930;   9.938600;  10.318360;  10.430050;  10.705570;  11.509770;  11.762940;   9.007810;  10.377930;  10.139650;  11.390620;  11.331050;  11.986330;  12.284180;  12.641600;  12.582030;  14.726560;  14.190430;   5.612300;   5.850590;   5.076170;   7.399410;   6.386720;   8.412110;   7.756840;   6.327150;   7.041990;   9.484380;   9.365230;   0.117310;   0.125732;   0.112183;   0.142944;   0.128296;   0.095337;   0.126465;   0.096069;   0.132324;   0.115112;   0.110718;   1.310915;   1.374789;   1.140934;   1.416367;   1.257614;   0.900140;   1.138575;   0.837734;   1.029386;   0.792887;   0.826062
2022-02-22T16:30:00Z;  -0.048830;  -0.073240;  -0.048830;  -0.146480;  -0.122070;  -0.097660;   0.122070;   0.024410;   0.048830;   0.000000;  -0.195310; 236.562500; 240.274410; 240.451170; 240.097660; 242.749020; 243.102540; 246.991210; 248.228520; 250.879880; 249.996090; 254.061520; 255.298830;   7.890870;   6.319700;   7.697270;   7.950440;   8.412110;   9.581180;   9.789670;   9.931150;  10.139650;  10.221560;  10.623660;  10.981080;  11.226810;   9.424800;  10.139650;  11.152340;  11.867190;  12.462890;  11.331050;  13.237300;  13.416020;  14.607420;  13.475590;  14.309570;   4.599610;   6.922850;   5.433590;   7.280270;   6.922850;   7.161130;   8.054690;   7.578120;   8.769530;   6.088870;   9.484380;   0.095703;   0.125000;   0.116943;   0.124634;   0.112915;   0.118774;   0.113647;   0.114014;   0.154663;   0.166016;   0.089111;   1.020717;   1.304003;   1.180245;   1.210256;   1.087673;   1.120584;   1.056938;   1.037769;   1.235990;   1.213976;   0.673048
2022-02-22T16:40:00Z;   0.000000;   0.122070;  -0.122070;   0.000000;  -0.024410;  -0.024410;  -0.097660;  -0.170900;  -0.024410;  -0.195310;   0.219730; 234.087890; 232.673830; 232.143550; 235.501950; 240.981450; 240.804690; 243.102540; 248.758790; 249.289060; 249.642580; 252.293950; 252.647460;   7.511110;   6.260130;   7.131350;   7.458980;   8.382320;   9.045040;   9.476930;   9.968380;  10.281130;  10.109860;  10.415160;  10.660890;  11.271480;   8.769530;   9.901370;  10.318360;  11.807620;  11.092770;  12.641600;  12.641600;  11.807620;  12.224610;  12.582030;  14.011720;   4.003910;   5.493160;   6.565430;   6.148440;   7.637700;   8.292970;   8.471680;   7.995120;   7.458980;   6.386720;   9.186520;   0.093506;   0.116211;   0.108887;   0.109985;   0.089478;   0.105591;   0.090576;   0.123535;   0.107422;   0.154297;   0.134888;   1.001253;   1.176967;   1.077372;   1.056336;   0.873938;   0.999943;   0.815463;   1.061510;   0.855423;   1.045329;   0.955821
2022-02-22T16:50:00Z;   0.000000;   0.024410;  -0.122070;   0.146480;   0.170900;   0.048830;  -0.024410;   0.048830;  -0.170900;  -0.073240;  -0.024410; 230.199220; 234.441410; 233.646000; 237.446290; 243.279300; 242.749020; 244.870120; 247.698240; 249.642580; 252.824220; 252.293950; 253.177730;   7.816410;   6.386720;   7.101560;   7.429200;   8.248290;   8.769530;   8.575930;   9.059940;   9.648190;   9.812010;   9.886470;  10.161990;  10.631100;   8.650390;   9.067380;  10.616210;  11.688480;  10.139650;  11.450200;  12.403320;  12.701170;  11.807620;  11.986330;  12.462890;   5.254880;   6.267580;   5.254880;   6.386720;   7.041990;   6.446290;   7.578120;   7.756840;   8.412110;   7.339840;   8.650390;   0.081421;   0.100830;   0.088013;   0.111450;   0.132324;   0.120239;   0.091675;   0.134155;   0.121704;   0.109619;   0.083618;   0.822315;   0.973402;   0.826631;   1.038871;   1.212853;   1.034890;   0.746888;   1.117652;   0.953657;   0.739543;   0.590154
2022-02-22T17:00:00Z;  -0.146480;   0.097660;   0.122070;   0.097660;   0.097660;  -0.048830;   0.073240;  -0.024410;   0.024410;  -0.146480;   0.122070; 227.724610; 230.375980; 231.613280; 232.320310; 237.799800; 239.213870; 240.627930; 240.627930; 242.925780; 246.460940; 249.112300; 249.996090;   6.751590;   5.627200;   6.543090;   7.176030;   7.727050;   8.158940;   8.307860;   8.285520;   8.903560;   9.402470;   9.886470;   9.968380;  10.392820;   7.935550;   9.067380;   9.722660;  10.199220;  10.080080;  10.497070;  11.867190;  11.331050;  11.033200;  12.820310;  13.118160;   5.076170;   4.718750;   5.374020;   5.850590;   6.982420;   6.327150;   5.135740;   6.327150;   7.518550;   8.412110;   7.578120;   0.122803;   0.104858;   0.082153;   0.125000;   0.160522;   0.132690;   0.092041;   0.126099;   0.104858;   0.118774;   0.132690;   1.212456;   0.993001;   0.771593;   1.116543;   1.357756;   1.044435;   0.726431;   0.977392;   0.769731;   0.738292;   0.904578
2022-02-22T17:10:00Z;   0.219730;  -0.048830;  -0.097660;   0.170900;  -0.048830;   0.219730;  -0.195310;   0.292970;  -0.341800;   0.341800;  -0.146480; 225.957030; 222.598630; 222.775390; 227.901370; 231.613280; 235.325200; 234.441410; 239.920900; 239.567380; 243.279300; 241.334960; 244.693360;   7.213260;   5.724000;   6.282470;   6.714360;   7.295170;   7.875980;   7.861080;   8.248290;   8.829100;   9.246090;   9.402470;   9.797120;  10.139650;   8.233400;   7.637700;   9.067380;   9.841800;   8.769530;  10.497070;  11.569340;  10.794920;  11.271480;  12.224610;  12.522460;   4.420900;   5.314450;   5.612300;   6.625000;   4.897460;   6.565430;   6.088870;   6.744140;   7.518550;   7.101560;   7.518550;   0.100830;   0.117676;   0.094604;   0.093506;   0.123535;   0.104858;   0.094971;   0.098267;   0.094971;   0.133423;   0.080688;   0.971262;   1.095242;   0.845036;   0.821337;   1.036168;   0.821654;   0.709246;   0.735251;   0.658188;   0.796315;   0.514680
2022-02-22T17:20:00Z;   0.000000;   0.000000;  -0.048830;   0.122070;   0.000000;  -0.024410;  -0.195310;   0.170900;  -0.122070;   0.097660;   0.170900; 217.472660; 217.472660; 218.091310; 221.714840; 225.957030; 225.780270; 227.371090; 232.497070; 235.678710; 238.330080; 237.976560; 238.860350;   6.193120;   5.143190;   6.148440;   6.267580;   6.885620;   7.689820;   7.615360;   8.039790;   9.022710;   9.260990;   9.424800;   9.759890;   9.841800;   7.995120;   7.339840;   8.769530;   9.305660;   9.007810;   9.603520;  11.331050;  10.914060;  12.343750;  11.450200;  11.569340;   4.480470;   4.599610;   5.374020;   6.148440;   5.910160;   6.505860;   7.578120;   6.505860;   7.041990;   7.101560;   6.803710;   0.113647;   0.103760;   0.120972;   0.112183;   0.103394;   0.102295;   0.088379;   0.101562;   0.100098;   0.112915;   0.111450;   1.062566;   0.962052;   1.083130;   0.986979;   0.886249;   0.781309;   0.639386;   0.741944;   0.654775;   0.659539;   0.663596
2022-02-22T17:30:00Z;   0.024410;   0.024410;  -0.146480;   0.146480;   0.073240;   0.024410;   0.000000;   0.146480;   0.000000;   0.024410;  -0.097660; 211.462890; 211.993160; 214.467770; 217.472660; 223.305660; 224.542970; 226.487300; 229.492190; 230.199220; 230.022460; 231.790040; 234.971680;   6.349490;   5.091060;   6.275020;   6.617550;   7.511110;   8.196170;   8.240840;   8.620610;   9.037600;   9.417360;   9.529050;  10.273680;  10.564090;   7.280270;   8.054690;   9.007810;   9.960940;  11.152340;  10.258790;  12.224610;  11.867190;  11.450200;  12.403320;  12.582030;   5.135740;   5.493160;   6.208010;   6.565430;   5.791020;   6.625000;   5.254880;   7.339840;   6.029300;   7.578120;   7.995120;   0.113647;   0.119141;   0.126831;   0.101196;   0.160889;   0.111084;   0.130127;   0.100464;   0.096802;   0.094238;   0.083618;   1.140548;   1.162816;   1.148150;   0.905349;   1.381348;   0.909731;   1.018738;   0.782249;   0.690736;   0.561778;   0.525679
