LOCATION: Energinet Lot4_SWLB
SYSTEM SERIAL: SWLB44
TIMESTAMP (ISO-8601) UTC;VerticalWindSpeed030m m/s;VerticalWindSpeed040m m/s;VerticalWindSpeed060m m/s;VerticalWindSpeed090m m/s;VerticalWindSpeed100m m/s;VerticalWindSpeed120m m/s;VerticalWindSpeed150m m/s;VerticalWindSpeed180m m/s;VerticalWindSpeed200m m/s;VerticalWindSpeed240m m/s;VerticalWindSpeed270m m/s;WindDir004m deg;WindDir030m deg;WindDir040m deg;WindDir060m deg;WindDir090m deg;WindDir100m deg;WindDir120m deg;WindDir150m deg;WindDir180m deg;WindDir200m deg;WindDir240m deg;WindDir270m deg;WindGust004m m/s;WindSpeed004m m/s;WindSpeed030m m/s;WindSpeed040m m/s;WindSpeed060m m/s;WindSpeed090m m/s;WindSpeed100m m/s;WindSpeed120m m/s;WindSpeed150m m/s;WindSpeed180m m/s;WindSpeed200m m/s;WindSpeed240m m/s;WindSpeed270m m/s;windMax_hor030m m/s;windMax_hor040m m/s;windMax_hor060m m/s;windMax_hor090m m/s;windMax_hor100m m/s;windMax_hor120m m/s;windMax_hor150m m/s;windMax_hor180m m/s;windMax_hor200m m/s;windMax_hor240m m/s;windMax_hor270m m/s;windMin_hor030m m/s;windMin_hor040m m/s;windMin_hor060m m/s;windMin_hor090m m/s;windMin_hor100m m/s;windMin_hor120m m/s;windMin_hor150m m/s;windMin_hor180m m/s;windMin_hor200m m/s;windMin_hor240m m/s;windMin_hor270m m/s;turbulence(TI)270m;turbulence(TI)240m;turbulence(TI)200m;turbulence(TI)180m;turbulence(TI)150m;turbulence(TI)120m;turbulence(TI)100m;turbulence(TI)090m;turbulence(TI)060m;turbulence(TI)030m;turbulence(TI)040m;StandardDeviation270m m/s;StandardDeviation240m m/s;StandardDeviation200m m/s;StandardDeviation180m m/s;StandardDeviation150m m/s;StandardDeviation120m m/s;StandardDeviation100m m/s;StandardDeviation090m m/s;StandardDeviation060m m/s;StandardDeviation030m m/s;StandardDeviation040m m/s
2022-04-22T16:00:00Z;  -0.097660;  -0.244140;  -0.366210;  -0.073240;  -0.341800;   0.292970;  -0.488280;   0.244140;  -0.268550;  -0.366210;  -0.073240;  63.339840;  70.763670;  69.791500;  69.526370;  68.112300;  70.763670;  71.647460;  77.303710;  79.248050;  79.424800;  75.712890;  75.005860;  11.889530;   9.670530;  11.412960;  12.671390;  13.244750;  15.545650;  15.917970;  17.407230;  18.159300;  18.553960;  18.583740;  17.988040;  17.079590;  14.964840;  16.156250;  15.024410;  19.015620;  20.802730;  20.862300;  20.862300;  22.768550;  22.947270;  24.079100;  21.517580;   5.016600;  10.258790;  10.914060;  10.616210;  11.152340;  14.190430;  14.786130;  15.560550;  12.760740;  13.475590;  11.390620;   0.124634;   0.132690;   0.135986;   0.104126;   0.096069;   0.096069;   0.135986;   0.119141;   0.080322;   0.184692;   0.129028;   2.022263;   2.267491;   2.400772;   1.835352;   1.657319;   1.588680;   2.056390;   1.759518;   1.010653;   2.002488;   1.553216
2022-04-22T16:10:00Z;  -0.097660;  -0.439450;  -0.390620;   0.415040;  -0.390620;   0.073240;  -0.634770;   0.097660;  -0.146480;  -0.366210;  -0.292970;  62.279300;  69.349610;  67.316890;  71.647460;  72.177730;  72.531250;  75.712890;  79.601560;  81.369140;  81.722660;  77.480470;  73.768550;  11.740600;   9.692870;  12.790530;  13.192630;  14.279790;  16.699830;  16.603030;  17.883790;  18.784790;  18.963500;  18.568850;  17.459350;  17.548710;  15.679690;  16.573240;  19.313480;  20.862300;  19.730470;  20.683590;  21.696290;  23.721680;  23.840820;  20.683590;  21.815430;   8.709960;   8.054690;  10.377930;  11.926760;  11.628910;  10.675780;  15.024410;  15.322270;  15.441410;  12.760740;  12.939450;   0.126465;   0.127197;   0.094238;   0.108887;   0.095703;   0.124634;   0.118774;   0.116577;   0.134521;   0.149902;   0.136719;   2.108333;   2.109738;   1.662397;   1.961635;   1.707873;   2.117482;   1.873408;   1.849475;   1.824885;   1.821460;   1.713499
2022-04-22T16:20:00Z;   0.122070;   0.048830;  -0.268550;   0.024410;  -0.634770;  -0.268550;  -0.195310;  -0.244140;   0.366210;  -0.390620;   0.073240;  63.339840;  70.233400;  68.996090;  70.940430;  72.708010;  73.415040;  70.940430;  74.122070;  76.596680;  80.308590;  79.955080;  81.722660;  12.418210;  10.109860;  12.515010;  13.378780;  14.570190;  15.783940;  15.739260;  16.208370;  18.114620;  18.866700;  19.000730;  17.928470;  17.288090;  14.845700;  16.037110;  17.645510;  18.777340;  19.432620;  18.836910;  21.517580;  22.768550;  22.768550;  23.662110;  21.279300;   9.782230;  10.437500;  11.569340;   9.841800;  12.462890;  13.177730;  11.450200;  12.879880;  15.322270;  12.284180;  11.152340;   0.159790;   0.148071;   0.108154;   0.119141;   0.124634;   0.097534;   0.122437;   0.114746;   0.122803;   0.119141;   0.101562;   2.624341;   2.521952;   1.952255;   2.135408;   2.144813;   1.501824;   1.830714;   1.720587;   1.699800;   1.416498;   1.290837
2022-04-22T16:30:00Z;  -0.073240;  -0.317380;  -0.219730;  -0.195310;   0.512700;  -0.659180;   0.390620;  -0.927730;   0.366210;  -0.903320;   0.268550;  62.986330;  65.814450;  66.609860;  67.405270;  70.940430;  71.293950;  75.536130;  81.015620;  84.197270;  84.374020;  84.020510;  80.485350;  12.120360;  10.020510;  12.135250;  13.118160;  13.981930;  15.880740;  16.446660;  17.541260;  19.216670;  19.209230;  19.373050;  18.516720;  18.151860;  14.964840;  16.871090;  16.513670;  19.968750;  20.385740;  20.862300;  24.317380;  23.066410;  22.828120;  22.828120;  22.351560;   9.246090;   8.769530;  10.437500;  10.318360;  12.760740;  13.833010;  13.952150;  15.858400;  15.620120;  13.177730;  13.654300;   0.138916;   0.133789;   0.102661;   0.103760;   0.126099;   0.103027;   0.104492;   0.136719;   0.118774;   0.133789;   0.115112;   2.395505;   2.353467;   1.889414;   1.893492;   2.302043;   1.716862;   1.632617;   2.062639;   1.577655;   1.542385;   1.434555
2022-04-22T16:40:00Z;  -0.292970;   0.170900;  -0.097660;  -0.268550;   0.097660;  -0.146480;  -0.073240;  -0.024410;  -1.049800;   0.317380;  -0.756840;  63.693360;  70.233400;  70.852050;  72.000980;  73.238280;  76.773440;  79.601560;  83.490230;  83.313480;  83.666990;  80.485350;  79.071290;  12.425660;   9.968380;  11.919310;  12.261840;  13.885130;  16.260500;  16.915770;  17.675290;  19.090090;  19.417720;  19.052860;  18.203980;  17.585940;  15.977540;  15.024410;  16.394530;  19.551760;  18.598630;  21.696290;  23.662110;  23.304690;  21.696290;  22.351560;  21.577150;   8.173830;   9.603520;  10.377930;  13.058590;  14.607420;  15.560550;  16.811520;  12.165040;  15.739260;  14.190430;  11.807620;   0.133789;   0.118774;   0.092407;   0.119873;   0.077759;   0.075562;   0.078491;   0.104492;   0.109619;   0.150635;   0.107422;   2.235165;   2.054052;   1.672587;   2.211277;   1.410205;   1.268801;   1.261349;   1.614138;   1.445970;   1.705692;   1.251332
2022-04-22T16:50:00Z;  -0.073240;   0.024410;  -0.146480;   0.146480;  -0.024410;  -0.170900;  -0.317380;  -0.195310;   0.219730;  -0.927730;   0.830080;  65.460940;  71.293950;  73.680180;  70.940430;  72.531250;  75.712890;  79.248050;  82.959960;  84.020510;  85.257810;  83.136720;  82.429690;  12.157590;  10.027950;  11.956540;  12.932010;  13.773440;  16.007320;  16.186040;  17.481690;  19.119870;  19.194340;  18.851810;  18.576290;  18.501830;  15.620120;  17.347660;  18.300780;  18.896480;  19.075200;  20.564450;  23.245120;  23.721680;  23.066410;  22.232420;  23.364260;   9.246090;   9.663090;   9.901370;  12.641600;   9.722660;  13.237300;  15.322270;  13.833010;  14.726560;  12.462890;  13.833010;   0.129395;   0.130127;   0.122070;   0.123535;   0.098999;   0.103760;   0.140381;   0.103394;   0.129028;   0.125000;   0.140015;   2.274342;   2.296413;   2.186178;   2.252614;   1.798206;   1.723205;   2.158602;   1.572308;   1.688301;   1.419839;   1.720142
2022-04-22T17:00:00Z;  -0.219730;  -0.048830;  -0.097660;   0.048830;  -0.146480;  -0.488280;   0.268550;  -0.097660;   0.122070;  -0.537110;   0.170900;  67.228520;  65.637700;  67.582030;  72.354490;  74.298830;  75.182620;  78.717770;  81.545900;  84.550780;  85.434570;  87.025390;  83.666990;  11.822510;   9.834350;  11.725710;  12.544800;  13.698970;  15.426510;  15.530760;  16.707280;  18.345460;  19.104980;  19.566650;  18.516720;  17.749760;  15.560550;  15.083980;  17.585940;  18.658200;  18.122070;  20.445310;  22.291990;  22.708980;  23.721680;  23.066410;  22.470700;   7.875980;   9.484380;  10.854490;  11.748050;  13.475590;  13.356450;  12.462890;  15.560550;  13.952150;  13.594730;  11.152340;   0.172241;   0.109619;   0.112549;   0.096069;   0.109619;   0.109253;   0.083618;   0.113647;   0.127197;   0.139282;   0.118774;   2.904375;   1.928295;   2.092097;   1.743627;   1.910460;   1.734054;   1.233719;   1.665518;   1.655344;   1.551521;   1.415496
2022-04-22T17:10:00Z;   0.024410;  -0.341800;  -0.366210;   0.292970;  -0.439450;   0.048830;  -0.195310;  -0.366210;  -0.170900;  -0.024410;  -0.537110;  65.814450;  68.996090;  72.089360;  68.819340;  74.298830;  73.945310;  77.126950;  78.717770;  79.601560;  83.313480;  84.197270;  87.025390;  11.770390;   9.655640;  11.338500;  12.045900;  13.669190;  15.538210;  15.903080;  16.960450;  18.650760;  19.767700;  20.214480;  19.298580;  18.211430;  14.190430;  15.798830;  17.883790;  17.764650;  18.241210;  21.458010;  22.649410;  23.364260;  25.806640;  24.317380;  25.687500;   8.412110;   9.782230;  10.080080;  12.820310;  13.356450;  14.666990;  15.203120;  14.547850;  15.977540;  14.071290;  14.190430;   0.149170;   0.116211;   0.120972;   0.104858;   0.086548;   0.092407;   0.086182;   0.090942;   0.137817;   0.115112;   0.125732;   2.580769;   2.130572;   2.323117;   1.969161;   1.533477;   1.488901;   1.302031;   1.342422;   1.789654;   1.239938;   1.438827
2022-04-22T17:20:00Z;  -0.097660;  -0.122070;  -0.415040;   0.048830;  -0.195310;   0.097660;  -0.512700;   0.219730;  -0.537110;   0.122070;  -0.634770;  65.460940;  67.405270;  68.200680;  68.642580;  72.177730;  73.415040;  76.596680;  80.308590;  86.141600;  86.141600;  83.490230;  83.313480;  12.157590;   9.417360;  10.899170;  12.254390;  12.835210;  14.987180;  15.776490;  17.235960;  19.477290;  19.656010;  19.037960;  18.970950;  18.747560;  13.118160;  15.083980;  16.156250;  17.526370;  19.432620;  21.696290;  23.006840;  25.270510;  23.483400;  23.840820;  23.304690;   6.446290;  10.914060;  10.199220;  12.701170;  10.675780;  10.377930;  14.428710;  10.973630;  14.905270;  12.999020;  14.786130;   0.103394;   0.125732;   0.133423;   0.157959;   0.103394;   0.131226;   0.130127;   0.094971;   0.103027;   0.128296;   0.105957;   1.841466;   2.265993;   2.413097;   2.949601;   1.913143;   2.148716;   1.950300;   1.352180;   1.256255;   1.328404;   1.233516
2022-04-22T17:30:00Z;   0.073240;  -0.341800;  -0.024410;  -0.292970;  -0.146480;  -0.341800;  -0.024410;  -0.512700;   0.000000;  -0.390620;  -0.439450;  63.693360;  62.456050;  61.130370;  67.228520;  69.879880;  72.354490;  74.298830;  79.424800;  82.252930;  81.192380;  83.490230;  81.722660;  10.794920;   9.268430;  11.576780;  12.075680;  13.043700;  14.115970;  14.935060;  15.486080;  17.370000;  18.859250;  19.209230;  19.164550;  18.978390;  14.190430;  14.428710;  16.334960;  17.228520;  18.181640;  20.147460;  23.542970;  23.840820;  24.853520;  23.542970;  24.317380;   9.246090;  10.556640;  10.199220;  10.199220;  12.045900;  10.616210;  13.773440;  13.892580;  13.773440;  14.488280;  14.488280;   0.121704;   0.111084;   0.140381;   0.115479;   0.120239;   0.126465;   0.105591;   0.124634;   0.119141;   0.130859;   0.086548;   2.194259;   2.022431;   2.561780;   2.068955;   1.984124;   1.860525;   1.498158;   1.671363;   1.476337;   1.439180;   0.992870
