,DK,NO,DE,BE,NL,GB
2015-01-01 00:00:00,17704.81822495809,27963.587404589343,303535.15101598995,62095.113631982415,74349.51417558252,151347.40017376206
2015-01-01 01:00:00,18774.358558617252,26794.657200240534,297646.5728215125,60584.29200920585,73942.83509813648,153644.22873592217
2015-01-01 02:00:00,19232.81045555369,25910.242519304073,295433.76401803887,59826.66159167129,74530.67327159403,147088.66578681784
2015-01-01 03:00:00,21732.215774758562,25006.537499736714,293350.8760137698,59445.750973262795,75338.46397277935,140667.23170083898
2015-01-01 04:00:00,23394.713965172414,24548.650864590367,291174.09347331326,59363.53979145283,76137.07494500875,135482.62055413518
2015-01-01 05:00:00,23934.37975930862,24471.379008670337,289421.8852057243,59544.49469418901,77028.98106408084,131745.72636210526
2015-01-01 06:00:00,25408.341469942636,25438.013913459476,291622.65986759623,58355.05591471386,77322.26677006896,129573.8543831724
2015-01-01 07:00:00,26753.479146372963,25258.37564430663,292766.0051421139,57175.54948206844,79401.30126247658,132335.77313103792
2015-01-01 08:00:00,27669.64766375613,24639.828631680943,284625.8622720021,50851.07127966799,81240.9377063047,130229.9072309049
2015-01-01 09:00:00,26691.318452613326,24380.46634528085,296697.1886817729,56199.529712058444,83683.99860482287,130845.63831079271
2015-01-01 10:00:00,25838.80532033262,25009.436211799293,349334.954427555,63168.2458702649,85878.0763352162,131132.1489810771
2015-01-01 11:00:00,25102.008929190994,25248.60683184762,363098.2100355921,70573.65766272413,87265.36366962962,130934.21514559751
2015-01-01 12:00:00,25088.617134286687,25241.414390274196,356128.39831034053,70590.93351601405,86263.65123337347,130174.25326751721
2015-01-01 13:00:00,23509.375218989364,25148.09784670523,327669.72133299615,66213.17838013003,81407.55177685467,131899.00134885815
2015-01-01 14:00:00,23404.522760982123,25483.96249980067,274771.25662154006,57812.04236616977,79625.19655760436,129889.84644319862
2015-01-01 15:00:00,26682.23416650723,27158.549181854414,298349.8485138179,53405.029268811384,80778.50151385239,129110.40770135031
2015-01-01 16:00:00,28703.517759948565,27094.04996649482,309369.85836633947,52544.237332013974,83055.68957358484,129848.10964250402
2015-01-01 17:00:00,29837.045608758803,26522.56359863565,308693.02817723755,53178.912925907374,83769.88680191908,128693.55849275168
2015-01-01 18:00:00,30040.649721197424,26179.92962220172,309425.8289523665,52951.04433789266,84352.72171673992,125281.92562433853
2015-01-01 19:00:00,30151.360369161084,24597.17584494272,288117.3500679129,51229.38226063605,85905.96426273997,124785.92512356238
2015-01-01 20:00:00,30090.60854704949,23553.210424047134,285200.48781419935,50709.246028863985,87223.1994784613,121546.5957030212
2015-01-01 21:00:00,29969.95440044644,22306.035425269743,289160.45676770445,51363.4643349834,88990.14504013715,116970.66683138482
2015-01-01 22:00:00,29817.76923836608,20655.565921506175,290763.62567580276,51224.86327547366,88892.20274319185,112814.70961006756
2015-01-01 23:00:00,29601.44180114758,19720.60487824402,289967.1948967583,49828.24737478168,87405.81922644578,109875.53766830002
2015-01-02 00:00:00,29186.34462778947,19232.09101140658,293974.9289709937,48581.88833604697,78337.98354520806,111162.54041285555
2015-01-02 01:00:00,28046.942828509847,20134.393619733743,297462.1058064287,46690.62935478701,71110.10863950971,117170.6693737314
2015-01-02 02:00:00,27295.567211964764,20698.760750499212,304468.6634318792,46085.84945765035,70276.94687309665,119565.08940204835
2015-01-02 03:00:00,26956.942380319902,20779.640960641842,309744.54421821795,45473.245103769026,69730.71021809983,123508.29679916352
2015-01-02 04:00:00,26698.862096308578,21507.642926294626,308171.89454170753,45079.25101539194,68846.23893591356,130078.77450926998
2015-01-02 05:00:00,26894.971917673858,22617.869788827524,306526.2964310846,45122.090056192246,67354.8533149016,143458.33943639882
2015-01-02 06:00:00,27246.002084277407,23998.50872726264,301137.198036428,42666.0099575342,64549.9588645002,150965.2461295651
2015-01-02 07:00:00,27971.612103934647,24605.880304100738,300740.67516976484,38907.68937872011,63513.49327225528,151761.2009872013
2015-01-02 08:00:00,28581.550638930963,25206.32936979732,305343.5747286006,35092.1820022431,63490.5470667697,151008.38962488575
2015-01-02 09:00:00,29355.119758200795,26002.46178390654,299776.19709657074,36593.57878022992,70564.43122454714,161980.39702500167
2015-01-02 10:00:00,29864.952804388624,26298.319922958635,333889.8572235736,43603.66885754169,89561.82629481389,177126.80371776255
2015-01-02 11:00:00,30227.217629915114,26549.05018511425,333640.19689168973,48334.47612905845,89421.53753257313,174966.46841181122
2015-01-02 12:00:00,30535.229711238328,26628.240399244205,302085.1280869352,49468.96835874871,89438.27756783503,173897.39757259953
2015-01-02 13:00:00,30793.386615287032,26826.135129482416,304235.05206623586,48707.19758247538,89401.18240033036,176192.72657217548
