# Renewables.ninja Wind (Point API) - 54.995, 14.356 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Etc/GMT-1, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Etc/GMT-1", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "54.9948", "lon": "14.3556", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "138", "turbine": "Vestas V164 8000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,0.987,16.566
2019-01-01 01:00,2019-01-01 02:00,0.988,16.844
2019-01-01 02:00,2019-01-01 03:00,0.989,17.441
2019-01-01 03:00,2019-01-01 04:00,0.982,18.603
2019-01-01 04:00,2019-01-01 05:00,0.960,19.760
2019-01-01 05:00,2019-01-01 06:00,0.968,19.418
2019-01-01 06:00,2019-01-01 07:00,0.981,18.683
2019-01-01 07:00,2019-01-01 08:00,0.965,19.547
2019-01-01 08:00,2019-01-01 09:00,0.947,20.165
2019-01-01 09:00,2019-01-01 10:00,0.906,21.071
2019-01-01 10:00,2019-01-01 11:00,0.882,21.454
2019-01-01 11:00,2019-01-01 12:00,0.850,21.905
2019-01-01 12:00,2019-01-01 13:00,0.779,22.699
2019-01-01 13:00,2019-01-01 14:00,0.792,22.564
2019-01-01 14:00,2019-01-01 15:00,0.832,22.127
2019-01-01 15:00,2019-01-01 16:00,0.910,20.996
2019-01-01 16:00,2019-01-01 17:00,0.960,19.746
2019-01-01 17:00,2019-01-01 18:00,0.980,18.749
2019-01-01 18:00,2019-01-01 19:00,0.988,17.851
2019-01-01 19:00,2019-01-01 20:00,0.989,16.986
2019-01-01 20:00,2019-01-01 21:00,0.987,16.620
2019-01-01 21:00,2019-01-01 22:00,0.989,16.932
2019-01-01 22:00,2019-01-01 23:00,0.989,17.579
2019-01-01 23:00,2019-01-02 00:00,0.980,18.745
2019-01-02 00:00,2019-01-02 01:00,0.973,19.172
2019-01-02 01:00,2019-01-02 02:00,0.972,19.222
2019-01-02 02:00,2019-01-02 03:00,0.976,19.026
2019-01-02 03:00,2019-01-02 04:00,0.983,18.532
2019-01-02 04:00,2019-01-02 05:00,0.987,18.106
2019-01-02 05:00,2019-01-02 06:00,0.986,18.205
2019-01-02 06:00,2019-01-02 07:00,0.983,18.486
2019-01-02 07:00,2019-01-02 08:00,0.983,18.507
2019-01-02 08:00,2019-01-02 09:00,0.985,18.359
2019-01-02 09:00,2019-01-02 10:00,0.986,18.152
2019-01-02 10:00,2019-01-02 11:00,0.989,17.595
2019-01-02 11:00,2019-01-02 12:00,0.989,17.210
2019-01-02 12:00,2019-01-02 13:00,0.989,17.302
2019-01-02 13:00,2019-01-02 14:00,0.989,17.484
2019-01-02 14:00,2019-01-02 15:00,0.989,17.468
2019-01-02 15:00,2019-01-02 16:00,0.989,17.151
2019-01-02 16:00,2019-01-02 17:00,0.987,16.649
2019-01-02 17:00,2019-01-02 18:00,0.983,16.022
2019-01-02 18:00,2019-01-02 19:00,0.973,15.249
2019-01-02 19:00,2019-01-02 20:00,0.958,14.539
2019-01-02 20:00,2019-01-02 21:00,0.944,13.999
2019-01-02 21:00,2019-01-02 22:00,0.931,13.625
2019-01-02 22:00,2019-01-02 23:00,0.928,13.551
2019-01-02 23:00,2019-01-03 00:00,0.931,13.613
2019-01-03 00:00,2019-01-03 01:00,0.927,13.513
2019-01-03 01:00,2019-01-03 02:00,0.930,13.597
2019-01-03 02:00,2019-01-03 03:00,0.947,14.100
2019-01-03 03:00,2019-01-03 04:00,0.958,14.523
2019-01-03 04:00,2019-01-03 05:00,0.961,14.653
2019-01-03 05:00,2019-01-03 06:00,0.954,14.358
2019-01-03 06:00,2019-01-03 07:00,0.921,13.354
2019-01-03 07:00,2019-01-03 08:00,0.868,12.293
2019-01-03 08:00,2019-01-03 09:00,0.807,11.426
2019-01-03 09:00,2019-01-03 10:00,0.768,10.973
2019-01-03 10:00,2019-01-03 11:00,0.745,10.724
2019-01-03 11:00,2019-01-03 12:00,0.698,10.284
2019-01-03 12:00,2019-01-03 13:00,0.644,9.814
2019-01-03 13:00,2019-01-03 14:00,0.630,9.700
2019-01-03 14:00,2019-01-03 15:00,0.609,9.530
2019-01-03 15:00,2019-01-03 16:00,0.558,9.138
2019-01-03 16:00,2019-01-03 17:00,0.499,8.701
2019-01-03 17:00,2019-01-03 18:00,0.416,8.090
2019-01-03 18:00,2019-01-03 19:00,0.257,6.821
2019-01-03 19:00,2019-01-03 20:00,0.192,6.194
2019-01-03 20:00,2019-01-03 21:00,0.141,5.625
2019-01-03 21:00,2019-01-03 22:00,0.099,5.054
2019-01-03 22:00,2019-01-03 23:00,0.112,5.254
2019-01-03 23:00,2019-01-04 00:00,0.183,6.107
2019-01-04 00:00,2019-01-04 01:00,0.333,7.456
2019-01-04 01:00,2019-01-04 02:00,0.527,8.910
2019-01-04 02:00,2019-01-04 03:00,0.691,10.214
2019-01-04 03:00,2019-01-04 04:00,0.744,10.715
2019-01-04 04:00,2019-01-04 05:00,0.764,10.924
2019-01-04 05:00,2019-01-04 06:00,0.793,11.250
2019-01-04 06:00,2019-01-04 07:00,0.800,11.325
2019-01-04 07:00,2019-01-04 08:00,0.813,11.485
2019-01-04 08:00,2019-01-04 09:00,0.783,11.131
2019-01-04 09:00,2019-01-04 10:00,0.749,10.762
2019-01-04 10:00,2019-01-04 11:00,0.677,10.085
2019-01-04 11:00,2019-01-04 12:00,0.633,9.721
2019-01-04 12:00,2019-01-04 13:00,0.621,9.625
2019-01-04 13:00,2019-01-04 14:00,0.673,10.064
2019-01-04 14:00,2019-01-04 15:00,0.717,10.455
2019-01-04 15:00,2019-01-04 16:00,0.720,10.483
2019-01-04 16:00,2019-01-04 17:00,0.715,10.431
2019-01-04 17:00,2019-01-04 18:00,0.746,10.732
2019-01-04 18:00,2019-01-04 19:00,0.771,10.999
2019-01-04 19:00,2019-01-04 20:00,0.827,11.684
2019-01-04 20:00,2019-01-04 21:00,0.822,11.599
2019-01-04 21:00,2019-01-04 22:00,0.793,11.246
2019-01-04 22:00,2019-01-04 23:00,0.756,10.840
2019-01-04 23:00,2019-01-05 00:00,0.707,10.359
2019-01-05 00:00,2019-01-05 01:00,0.651,9.873
2019-01-05 01:00,2019-01-05 02:00,0.663,9.966
2019-01-05 02:00,2019-01-05 03:00,0.670,10.031
2019-01-05 03:00,2019-01-05 04:00,0.667,10.011
2019-01-05 04:00,2019-01-05 05:00,0.673,10.064
2019-01-05 05:00,2019-01-05 06:00,0.682,10.139
