# Renewables.ninja Wind (Point API) - 56.628, 6.301 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Etc/GMT, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Etc/GMT", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "56.628", "lon": "6.3007", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "138", "turbine": "Vestas V164 8000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 00:00,0.969,19.392
2019-01-01 01:00,2019-01-01 01:00,0.939,20.356
2019-01-01 02:00,2019-01-01 02:00,0.900,21.162
2019-01-01 03:00,2019-01-01 03:00,0.841,22.017
2019-01-01 04:00,2019-01-01 04:00,0.741,23.077
2019-01-01 05:00,2019-01-01 05:00,0.697,23.465
2019-01-01 06:00,2019-01-01 06:00,0.614,24.148
2019-01-01 07:00,2019-01-01 07:00,0.537,24.739
2019-01-01 08:00,2019-01-01 08:00,0.469,25.246
2019-01-01 09:00,2019-01-01 09:00,0.450,25.388
2019-01-01 10:00,2019-01-01 10:00,0.450,25.388
2019-01-01 11:00,2019-01-01 11:00,0.445,25.433
2019-01-01 12:00,2019-01-01 12:00,0.425,25.581
2019-01-01 13:00,2019-01-01 13:00,0.408,25.704
2019-01-01 14:00,2019-01-01 14:00,0.422,25.606
2019-01-01 15:00,2019-01-01 15:00,0.377,25.948
2019-01-01 16:00,2019-01-01 16:00,0.354,26.129
2019-01-01 17:00,2019-01-01 17:00,0.385,25.884
2019-01-01 18:00,2019-01-01 18:00,0.497,25.035
2019-01-01 19:00,2019-01-01 19:00,0.637,23.961
2019-01-01 20:00,2019-01-01 20:00,0.749,23.000
2019-01-01 21:00,2019-01-01 21:00,0.809,22.385
2019-01-01 22:00,2019-01-01 22:00,0.847,21.946
2019-01-01 23:00,2019-01-01 23:00,0.888,21.363
2019-01-02 00:00,2019-01-02 00:00,0.926,20.663
2019-01-02 01:00,2019-01-02 01:00,0.954,19.941
2019-01-02 02:00,2019-01-02 02:00,0.974,19.140
2019-01-02 03:00,2019-01-02 03:00,0.988,17.957
2019-01-02 04:00,2019-01-02 04:00,0.988,16.698
2019-01-02 05:00,2019-01-02 05:00,0.976,15.490
2019-01-02 06:00,2019-01-02 06:00,0.956,14.430
2019-01-02 07:00,2019-01-02 07:00,0.930,13.582
2019-01-02 08:00,2019-01-02 08:00,0.908,13.053
2019-01-02 09:00,2019-01-02 09:00,0.894,12.766
2019-01-02 10:00,2019-01-02 10:00,0.891,12.701
2019-01-02 11:00,2019-01-02 11:00,0.905,12.994
2019-01-02 12:00,2019-01-02 12:00,0.925,13.454
2019-01-02 13:00,2019-01-02 13:00,0.939,13.861
2019-01-02 14:00,2019-01-02 14:00,0.946,14.095
2019-01-02 15:00,2019-01-02 15:00,0.945,14.039
2019-01-02 16:00,2019-01-02 16:00,0.934,13.708
2019-01-02 17:00,2019-01-02 17:00,0.917,13.272
2019-01-02 18:00,2019-01-02 18:00,0.897,12.818
2019-01-02 19:00,2019-01-02 19:00,0.870,12.323
2019-01-02 20:00,2019-01-02 20:00,0.843,11.907
2019-01-02 21:00,2019-01-02 21:00,0.841,11.876
2019-01-02 22:00,2019-01-02 22:00,0.858,12.136
2019-01-02 23:00,2019-01-02 23:00,0.876,12.432
2019-01-03 00:00,2019-01-03 00:00,0.881,12.508
2019-01-03 01:00,2019-01-03 01:00,0.865,12.243
2019-01-03 02:00,2019-01-03 02:00,0.843,11.898
2019-01-03 03:00,2019-01-03 03:00,0.816,11.527
2019-01-03 04:00,2019-01-03 04:00,0.791,11.232
2019-01-03 05:00,2019-01-03 05:00,0.768,10.968
2019-01-03 06:00,2019-01-03 06:00,0.736,10.636
2019-01-03 07:00,2019-01-03 07:00,0.695,10.249
2019-01-03 08:00,2019-01-03 08:00,0.653,9.891
2019-01-03 09:00,2019-01-03 09:00,0.637,9.761
2019-01-03 10:00,2019-01-03 10:00,0.625,9.651
2019-01-03 11:00,2019-01-03 11:00,0.625,9.659
2019-01-03 12:00,2019-01-03 12:00,0.666,9.997
2019-01-03 13:00,2019-01-03 13:00,0.749,10.760
2019-01-03 14:00,2019-01-03 14:00,0.785,11.162
2019-01-03 15:00,2019-01-03 15:00,0.716,10.443
2019-01-03 16:00,2019-01-03 16:00,0.681,10.129
2019-01-03 17:00,2019-01-03 17:00,0.727,10.552
2019-01-03 18:00,2019-01-03 18:00,0.785,11.159
2019-01-03 19:00,2019-01-03 19:00,0.820,11.580
2019-01-03 20:00,2019-01-03 20:00,0.822,11.598
2019-01-03 21:00,2019-01-03 21:00,0.845,11.933
2019-01-03 22:00,2019-01-03 22:00,0.881,12.512
2019-01-03 23:00,2019-01-03 23:00,0.908,13.052
2019-01-04 00:00,2019-01-04 00:00,0.923,13.406
2019-01-04 01:00,2019-01-04 01:00,0.932,13.657
2019-01-04 02:00,2019-01-04 02:00,0.944,13.994
2019-01-04 03:00,2019-01-04 03:00,0.954,14.375
2019-01-04 04:00,2019-01-04 04:00,0.960,14.624
2019-01-04 05:00,2019-01-04 05:00,0.968,14.997
2019-01-04 06:00,2019-01-04 06:00,0.973,15.288
2019-01-04 07:00,2019-01-04 07:00,0.976,15.497
2019-01-04 08:00,2019-01-04 08:00,0.978,15.623
2019-01-04 09:00,2019-01-04 09:00,0.981,15.874
2019-01-04 10:00,2019-01-04 10:00,0.984,16.141
2019-01-04 11:00,2019-01-04 11:00,0.985,16.343
2019-01-04 12:00,2019-01-04 12:00,0.987,16.503
2019-01-04 13:00,2019-01-04 13:00,0.987,16.620
2019-01-04 14:00,2019-01-04 14:00,0.988,16.670
2019-01-04 15:00,2019-01-04 15:00,0.988,16.673
2019-01-04 16:00,2019-01-04 16:00,0.989,16.948
2019-01-04 17:00,2019-01-04 17:00,0.989,17.226
2019-01-04 18:00,2019-01-04 18:00,0.989,17.464
2019-01-04 19:00,2019-01-04 19:00,0.989,17.648
2019-01-04 20:00,2019-01-04 20:00,0.987,17.966
2019-01-04 21:00,2019-01-04 21:00,0.984,18.460
2019-01-04 22:00,2019-01-04 22:00,0.978,18.921
2019-01-04 23:00,2019-01-04 23:00,0.969,19.377
2019-01-05 00:00,2019-01-05 00:00,0.960,19.763
2019-01-05 01:00,2019-01-05 01:00,0.961,19.700
2019-01-05 02:00,2019-01-05 02:00,0.969,19.398
2019-01-05 03:00,2019-01-05 03:00,0.977,18.977
2019-01-05 04:00,2019-01-05 04:00,0.983,18.537
2019-01-05 05:00,2019-01-05 05:00,0.988,17.909
2019-01-05 06:00,2019-01-05 06:00,0.989,17.226
2019-01-05 07:00,2019-01-05 07:00,0.986,16.464
2019-01-05 08:00,2019-01-05 08:00,0.975,15.411
2019-01-05 09:00,2019-01-05 09:00,0.959,14.576
2019-01-05 10:00,2019-01-05 10:00,0.940,13.895
2019-01-05 11:00,2019-01-05 11:00,0.928,13.548
2019-01-05 12:00,2019-01-05 12:00,0.921,13.348
2019-01-05 13:00,2019-01-05 13:00,0.918,13.293
2019-01-05 14:00,2019-01-05 14:00,0.920,13.330
2019-01-05 15:00,2019-01-05 15:00,0.904,12.969
2019-01-05 16:00,2019-01-05 16:00,0.887,12.633
2019-01-05 17:00,2019-01-05 17:00,0.867,12.273
2019-01-05 18:00,2019-01-05 18:00,0.866,12.265
2019-01-05 19:00,2019-01-05 19:00,0.853,12.057
2019-01-05 20:00,2019-01-05 20:00,0.858,12.137
2019-01-05 21:00,2019-01-05 21:00,0.854,12.066
2019-01-05 22:00,2019-01-05 22:00,0.845,11.925
2019-01-05 23:00,2019-01-05 23:00,0.835,11.785
2019-01-06 00:00,2019-01-06 00:00,0.817,11.553
2019-01-06 01:00,2019-01-06 01:00,0.820,11.575
2019-01-06 02:00,2019-01-06 02:00,0.827,11.668
2019-01-06 03:00,2019-01-06 03:00,0.828,11.688
2019-01-06 04:00,2019-01-06 04:00,0.829,11.705
2019-01-06 05:00,2019-01-06 05:00,0.835,11.793
2019-01-06 06:00,2019-01-06 06:00,0.843,11.909
2019-01-06 07:00,2019-01-06 07:00,0.843,11.898
2019-01-06 08:00,2019-01-06 08:00,0.837,11.817
2019-01-06 09:00,2019-01-06 09:00,0.819,11.567
2019-01-06 10:00,2019-01-06 10:00,0.806,11.404
2019-01-06 11:00,2019-01-06 11:00,0.805,11.391
2019-01-06 12:00,2019-01-06 12:00,0.809,11.442
2019-01-06 13:00,2019-01-06 13:00,0.808,11.429
2019-01-06 14:00,2019-01-06 14:00,0.806,11.405
2019-01-06 15:00,2019-01-06 15:00,0.785,11.158
2019-01-06 16:00,2019-01-06 16:00,0.736,10.642
2019-01-06 17:00,2019-01-06 17:00,0.725,10.532
2019-01-06 18:00,2019-01-06 18:00,0.756,10.836
2019-01-06 19:00,2019-01-06 19:00,0.764,10.931
2019-01-06 20:00,2019-01-06 20:00,0.773,11.026
2019-01-06 21:00,2019-01-06 21:00,0.781,11.110
2019-01-06 22:00,2019-01-06 22:00,0.777,11.065
2019-01-06 23:00,2019-01-06 23:00,0.774,11.031
2019-01-07 00:00,2019-01-07 00:00,0.749,10.767
2019-01-07 01:00,2019-01-07 01:00,0.687,10.180
2019-01-07 02:00,2019-01-07 02:00,0.680,10.125
2019-01-07 03:00,2019-01-07 03:00,0.639,9.774
2019-01-07 04:00,2019-01-07 04:00,0.576,9.273
2019-01-07 05:00,2019-01-07 05:00,0.549,9.069
2019-01-07 06:00,2019-01-07 06:00,0.523,8.881
2019-01-07 07:00,2019-01-07 07:00,0.496,8.680
2019-01-07 08:00,2019-01-07 08:00,0.496,8.676
2019-01-07 09:00,2019-01-07 09:00,0.610,9.541
2019-01-07 10:00,2019-01-07 10:00,0.802,11.357
2019-01-07 11:00,2019-01-07 11:00,0.917,13.260
2019-01-07 12:00,2019-01-07 12:00,0.952,14.288
2019-01-07 13:00,2019-01-07 13:00,0.964,14.801
2019-01-07 14:00,2019-01-07 14:00,0.979,15.684
2019-01-07 15:00,2019-01-07 15:00,0.989,17.097
2019-01-07 16:00,2019-01-07 16:00,0.988,17.795
2019-01-07 17:00,2019-01-07 17:00,0.989,17.378
2019-01-07 18:00,2019-01-07 18:00,0.989,17.633
2019-01-07 19:00,2019-01-07 19:00,0.984,18.377
2019-01-07 20:00,2019-01-07 20:00,0.968,19.417
2019-01-07 21:00,2019-01-07 21:00,0.951,20.024
2019-01-07 22:00,2019-01-07 22:00,0.944,20.231
2019-01-07 23:00,2019-01-07 23:00,0.920,20.800
2019-01-08 00:00,2019-01-08 00:00,0.859,21.783
2019-01-08 01:00,2019-01-08 01:00,0.847,21.941
2019-01-08 02:00,2019-01-08 02:00,0.891,21.308
2019-01-08 03:00,2019-01-08 03:00,0.893,21.292
2019-01-08 04:00,2019-01-08 04:00,0.883,21.450
2019-01-08 05:00,2019-01-08 05:00,0.918,20.829
2019-01-08 06:00,2019-01-08 06:00,0.874,21.574
2019-01-08 07:00,2019-01-08 07:00,0.729,23.187
2019-01-08 08:00,2019-01-08 08:00,0.602,24.228
2019-01-08 09:00,2019-01-08 09:00,0.596,24.286
2019-01-08 10:00,2019-01-08 10:00,0.685,23.567
2019-01-08 11:00,2019-01-08 11:00,0.783,22.659
2019-01-08 12:00,2019-01-08 12:00,0.842,22.009
2019-01-08 13:00,2019-01-08 13:00,0.895,21.259
2019-01-08 14:00,2019-01-08 14:00,0.950,20.076
2019-01-08 15:00,2019-01-08 15:00,0.969,19.368
2019-01-08 16:00,2019-01-08 16:00,0.977,18.991
2019-01-08 17:00,2019-01-08 17:00,0.982,18.605
2019-01-08 18:00,2019-01-08 18:00,0.987,18.003
2019-01-08 19:00,2019-01-08 19:00,0.989,17.492
2019-01-08 20:00,2019-01-08 20:00,0.989,16.955
2019-01-08 21:00,2019-01-08 21:00,0.987,16.580
2019-01-08 22:00,2019-01-08 22:00,0.986,16.399
2019-01-08 23:00,2019-01-08 23:00,0.985,16.285
2019-01-09 00:00,2019-01-09 00:00,0.984,16.169
2019-01-09 01:00,2019-01-09 01:00,0.982,15.914
2019-01-09 02:00,2019-01-09 02:00,0.978,15.596
2019-01-09 03:00,2019-01-09 03:00,0.975,15.379
2019-01-09 04:00,2019-01-09 04:00,0.968,14.999
2019-01-09 05:00,2019-01-09 05:00,0.958,14.522
2019-01-09 06:00,2019-01-09 06:00,0.949,14.187
2019-01-09 07:00,2019-01-09 07:00,0.934,13.697
2019-01-09 08:00,2019-01-09 08:00,0.904,12.979
2019-01-09 09:00,2019-01-09 09:00,0.877,12.453
2019-01-09 10:00,2019-01-09 10:00,0.849,12.000
2019-01-09 11:00,2019-01-09 11:00,0.823,11.626
2019-01-09 12:00,2019-01-09 12:00,0.809,11.440
2019-01-09 13:00,2019-01-09 13:00,0.749,10.764
2019-01-09 14:00,2019-01-09 14:00,0.671,10.041
2019-01-09 15:00,2019-01-09 15:00,0.607,9.521
2019-01-09 16:00,2019-01-09 16:00,0.530,8.925
2019-01-09 17:00,2019-01-09 17:00,0.409,8.028
2019-01-09 18:00,2019-01-09 18:00,0.292,7.117
2019-01-09 19:00,2019-01-09 19:00,0.244,6.695
2019-01-09 20:00,2019-01-09 20:00,0.181,6.083
2019-01-09 21:00,2019-01-09 21:00,0.108,5.193
2019-01-09 22:00,2019-01-09 22:00,0.123,5.402
2019-01-09 23:00,2019-01-09 23:00,0.139,5.610
2019-01-10 00:00,2019-01-10 00:00,0.186,6.137
2019-01-10 01:00,2019-01-10 01:00,0.210,6.376
2019-01-10 02:00,2019-01-10 02:00,0.219,6.460
2019-01-10 03:00,2019-01-10 03:00,0.190,6.174
2019-01-10 04:00,2019-01-10 04:00,0.185,6.123
2019-01-10 05:00,2019-01-10 05:00,0.202,6.304
2019-01-10 06:00,2019-01-10 06:00,0.212,6.398
2019-01-10 07:00,2019-01-10 07:00,0.219,6.470
2019-01-10 08:00,2019-01-10 08:00,0.241,6.680
2019-01-10 09:00,2019-01-10 09:00,0.280,7.024
2019-01-10 10:00,2019-01-10 10:00,0.354,7.615
2019-01-10 11:00,2019-01-10 11:00,0.453,8.364
2019-01-10 12:00,2019-01-10 12:00,0.514,8.807
2019-01-10 13:00,2019-01-10 13:00,0.515,8.821
2019-01-10 14:00,2019-01-10 14:00,0.538,8.985
2019-01-10 15:00,2019-01-10 15:00,0.638,9.762
2019-01-10 16:00,2019-01-10 16:00,0.725,10.532
2019-01-10 17:00,2019-01-10 17:00,0.799,11.324
2019-01-10 18:00,2019-01-10 18:00,0.849,11.985
2019-01-10 19:00,2019-01-10 19:00,0.846,11.940
2019-01-10 20:00,2019-01-10 20:00,0.830,11.726
2019-01-10 21:00,2019-01-10 21:00,0.813,11.493
2019-01-10 22:00,2019-01-10 22:00,0.850,11.990
2019-01-10 23:00,2019-01-10 23:00,0.890,12.682
2019-01-11 00:00,2019-01-11 00:00,0.936,13.772
2019-01-11 01:00,2019-01-11 01:00,0.951,14.238
2019-01-11 02:00,2019-01-11 02:00,0.964,14.776
2019-01-11 03:00,2019-01-11 03:00,0.968,15.014
2019-01-11 04:00,2019-01-11 04:00,0.977,15.567
2019-01-11 05:00,2019-01-11 05:00,0.981,15.877
2019-01-11 06:00,2019-01-11 06:00,0.981,15.869
2019-01-11 07:00,2019-01-11 07:00,0.984,16.160
2019-01-11 08:00,2019-01-11 08:00,0.988,16.705
2019-01-11 09:00,2019-01-11 09:00,0.989,17.046
